,MC,HR,VT
AL,0.9384408184008811,0.06155918160182973,0.0
AK,0.9262926319331588,0.0,0.0737073680662728
AZ,0.9700200380167824,0.029979961974724155,0.0
AR,0.9776035138567939,0.013473873214522598,0.008922612927373681
CA,0.0,0.9370158784894507,0.06298412040526602
CO,0.999999999999763,0.0,0.0
CT,0.6519230509644556,0.3480769490571243,0.0
DE,0.9787716799580733,0.021228320040956514,0.0
DC,0.8986137298829611,0.0,0.1013862701164244
FL,0.4160257026907986,0.5839742975065406,0.0
GA,1.0000000000022045,0.0,0.0
HI,0.9999999999992758,0.0,0.0
ID,0.9311814389627627,0.00869623156690464,0.06012232946924518
IL,0.9885109384287689,0.01148906161348523,0.0
IN,0.9688752553475398,0.031124744656446057,0.0
IA,0.7685207613017541,0.23147923869414574,0.0
KS,0.7582061225932589,0.24179387739949762,0.0
KY,0.7910212475665744,0.1990394998951697,0.009939252540759906
LA,0.925726325429487,0.07427367457127902,0.0
ME,0.8970514900506941,0.027428996253055365,0.0755195136950395
MD,1.0000000000051903,0.0,0.0
MA,0.6572659145499987,0.34273408548465045,0.0
MI,1.000000000004442,0.0,0.0
MN,1.0000000000001037,0.0,0.0
MS,0.832969688443892,0.16703031155229758,0.0
MO,0.9389836606479988,0.061016339365335584,0.0
MT,0.9043072228567758,0.0,0.095692777142646
NE,0.9999999999989078,0.0,0.0
NV,0.9599456191052509,0.040054380890174705,0.0
NH,0.9548983026922045,0.022244859990067475,0.02285683731595347
NJ,1.000000000018563,0.0,0.0
NM,0.9071266644013652,0.0814919354014959,0.011381400194620117
NY,0.8139969561580844,0.18600304506985454,0.0
NC,0.7053447957436575,0.29465520427524877,0.0
ND,0.9932414999002488,0.006758500099148975,0.0
OH,0.9930037065005375,0.0069962935201621146,0.0
OK,0.8239761403838921,0.17602385960067995,0.0
OR,0.881315903946954,0.11868409604699189,0.0
PA,0.9797397157488741,0.020260284318897488,0.0
RI,0.7890505987629899,0.03836514213869531,0.1725842590968749
SC,0.8367676464311238,0.15021638220611253,0.013015971353432352
SD,0.971273406604148,0.0,0.028726593395255677
TN,0.7914513609757465,0.20854863902461146,0.0
TX,0.9075500921978218,0.09244990830354119,0.0
UT,0.9754239706169425,0.02457602937983093,0.0
VT,0.7641172028833887,0.012298979162185822,0.22358381795392795
VA,0.9739854153022097,0.02601458470517657,0.0
WA,0.8051116232618954,0.19488837670559878,0.0
WV,0.9748877568294315,0.0,0.025112243169828553
WI,0.8903770184532425,0.10962298155858405,0.0
WY,0.7638470547469488,0.0,0.23615294525266556
