,MC,HR,VT,intercept
AL,0.9129484614764461,0.1776694406114424,-0.09538849786448503,0.007237240604383244
AK,0.9820398896215432,-0.04195967472858575,0.05258917602235065,0.0021339225224430436
AZ,0.9371609618110339,0.33472702957602346,-0.25726749687230277,-0.032091842010223415
AR,0.9547637846483829,0.03769764593300673,0.005676387011530313,0.0011488724897269487
CA,0.7693080123795258,0.6124084957113157,-0.3576543659911305,-0.317198200079126
CO,1.146884555816259,0.07595428323586345,-0.22034019667067958,-0.005981026846057613
CT,0.709811211706181,0.3840745604689478,-0.09380929340811389,0.0009870435654502074
DE,1.0333245982711192,-0.0029476640173602686,-0.03944768568858793,0.002733836124125366
DC,0.9210155851508132,-0.0011443038737959169,0.07233071303899005,0.0022536597921529733
FL,0.9313668496582028,0.5619303845261904,-0.4762818402937984,-0.09989758233843649
GA,1.0832497336006495,0.2634917423700464,-0.33821333435146594,-0.025168398151862892
HI,1.063627903430132,-0.04148432615614147,-0.024998606062334422,0.0012853238694916502
ID,0.9539436685004768,-0.0014860910835205673,0.04331291301317662,0.0015881938497102621
IL,1.0561528601672527,0.18382175157084277,-0.24276743176884472,0.022556922871671325
IN,0.933279732250813,0.15888320274859927,-0.09629618089983935,0.009852716792357885
IA,0.7260207722756827,0.3156328091937281,-0.047591706427998565,0.005304636727141432
KS,0.7500777240422348,0.3094390696863343,-0.06544285771196112,0.004599591588879126
KY,0.6424982077881893,0.3482297228982541,0.005472747027970182,0.005107985265108805
LA,0.9445886835037276,0.1677866598613969,-0.11693227654432992,0.006590213682394541
ME,0.9116776249887713,0.023758434783515983,0.05883691671661513,0.002098522620390064
MD,1.0779570537712078,-0.00833591112012242,-0.07032627519716383,0.0016948223319031008
MA,0.778130158251525,0.4201107712469816,-0.1944757566781341,-0.009393941507759074
MI,1.3161244271884986,0.13831012997753037,-0.46120362879048604,0.02928885107103385
MN,1.06956929421734,0.007764729229954234,-0.07764529520477932,0.0005953985876903101
MS,0.8140980708652485,0.20006907326645562,-0.01753531975547104,0.0019314750140182468
MO,0.77976686136536,0.2629705370413957,-0.04744151066781327,0.011795309882319138
MT,0.9934507713933985,-0.07254694025787618,0.07156654683241073,0.0025669092936396742
NE,1.1482681212376808,-0.05078845201409728,-0.1011777389820599,0.0024457720317008214
NV,0.841253391808623,0.26881044568345935,-0.09182173041863237,-0.01901339264305202
NH,0.9701118323904273,0.012277526376126311,0.01387739181577205,0.001645060005552923
NJ,1.0511493859153047,0.14587855773567407,-0.1960054351245742,0.0002439156463220904
NM,0.8358590715697023,0.15511128802461907,0.007435132055446894,-5.7389320968881385e-05
NY,1.0318175531146632,0.3114161292907641,-0.3456072370610357,0.04648987073516064
NC,0.9010501258006801,0.45951338412298676,-0.351895678335339,-0.02437693686820097
ND,1.0795883209954429,0.06087302402197811,-0.14645919547991865,0.0004873272533665318
OH,1.0744148811969672,0.037013106729146206,-0.11280677674330435,0.007243949366781077
OK,0.8290914705740827,0.41270729099255477,-0.2480672640499547,0.003246196875017482
OR,0.896772021438535,0.22589885819697642,-0.12241180383584745,-0.001251758375891976
PA,1.0770714861918933,0.030717284979615046,-0.10794106051423537,0.0025675908045768026
RI,0.7762369250375275,0.060701169368204605,0.15713590333172212,0.0017352796742631793
SC,0.677416921840732,0.30902488868332467,0.013564063602912596,-0.0015670122986950474
SD,1.154641651572446,-0.1411641656248834,-0.02595465163625532,0.004386827870107718
TN,0.8189055759598873,0.25446194103459235,-0.07429236595544289,0.0017034092945824586
TX,1.4774920468076158,0.05437093461632059,-0.5004996074833427,-0.2335841981017417
UT,0.90044758251142,0.14238880407084714,-0.040461966661824486,-0.0037804413638766743
VT,0.7872081154544618,0.0076242362588676005,0.1971530795040576,0.0015091469477625519
VA,0.9687195535491945,0.11365498515785726,-0.08142117053732295,-0.003230075680937805
WA,0.8822873711052146,0.2898009167009109,-0.16679764921068763,-0.01585122054832766
WV,0.9763787412603917,0.00385252984665734,0.014537476177331764,0.0024343342075536234
WI,0.720337730599435,0.33772996496997953,-0.06180881407796912,0.009578739549150006
WY,0.8305029962667747,-0.05872872477816708,0.21984287822528606,0.0021966392684487634
