,MC,HR,VT
AL,1.000000001241318,0.0,0.0
AK,1.0000000012419488,0.0,0.0
AZ,1.0000000012432115,0.0,0.0
AR,1.0000000012412837,0.0,0.0
CA,1.000000000065573,0.0,0.0
CO,1.0000000012388477,0.0,0.0
CT,1.00000000124852,0.0,0.0
DE,1.0000000012416403,0.0,0.0
DC,1.0000000012417565,0.0,0.0
FL,1.0000000011895969,0.0,0.0
GA,1.00000000123288,0.0,0.0
HI,1.0000000012417536,0.0,0.0
ID,1.0000000012417525,0.0,0.0
IL,1.0000000012716246,0.0,0.0
IN,1.000000001234966,0.0,0.0
IA,1.0000000012440684,0.0,0.0
KS,1.0000000012419257,0.0,0.0
KY,1.0000000012432082,0.0,0.0
LA,1.000000001241008,0.0,0.0
ME,1.0000000012417842,0.0,0.0
MD,1.000000001242236,0.0,0.0
MA,1.0000000012377483,0.0,0.0
MI,1.0000000012320098,0.0,0.0
MN,1.0000000012380663,0.0,0.0
MS,1.0000000012421768,0.0,0.0
MO,1.0000000012435442,0.0,0.0
MT,1.0000000012418289,0.0,0.0
NE,1.000000001242292,0.0,0.0
NV,1.0000000012427412,0.0,0.0
NH,1.000000001241545,0.0,0.0
NJ,1.0000000012565344,0.0,0.0
NM,1.0000000012422214,0.0,0.0
NY,1.0000000012108616,0.0,0.0
NC,1.0000000012235069,0.0,0.0
ND,1.0000000012420611,0.0,0.0
OH,1.000000001252576,0.0,0.0
OK,1.0000000012439836,0.0,0.0
OR,1.0000000012419934,0.0,0.0
PA,1.0000000012437356,0.0,0.0
RI,1.0000000012419576,0.0,0.0
SC,1.0000000012405263,0.0,0.0
SD,1.0000000012419215,0.0,0.0
TN,1.0000000012411425,0.0,0.0
TX,1.000000001255481,0.0,0.0
UT,1.000000001240402,0.0,0.0
VT,1.0000000012417745,0.0,0.0
VA,1.000000001247313,0.0,0.0
WA,1.0000000012230308,0.0,0.0
WV,1.0000000012417896,0.0,0.0
WI,1.0000000012415011,0.0,0.0
WY,1.0000000012418426,0.0,0.0
