,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.077,0.077,0.147,0.108,0.095,0.079,0.517,0.095,0.106,0.13
AK,0.392,0.188,0.296,0.305,0.224,0.297,0.189,0.442,0.302,0.331
AZ,0.074,0.218,0.114,0.073,0.047,0.074,0.484,0.069,0.105,0.158
AR,0.063,0.138,0.101,0.094,0.066,0.062,0.463,0.084,0.089,0.982
CA,0.131,0.348,0.075,5.187,0.071,0.075,0.409,0.113,0.126,5.685
CO,0.031,0.037,0.06,0.12,0.027,0.031,0.311,0.051,0.058,0.046
CT,0.185,0.605,0.18,0.975,0.203,0.185,0.365,0.156,0.182,2.17
DE,0.067,0.632,0.13,0.151,0.113,0.101,0.54,0.102,0.095,0.474
DC,0.078,0.547,0.075,0.335,0.066,0.061,0.535,0.114,0.078,0.296
FL,0.052,0.121,0.09,0.047,0.048,0.054,0.421,0.096,0.093,3.124
GA,0.048,0.205,0.084,0.064,0.038,0.05,0.531,0.07,0.082,0.09
HI,0.07,0.373,0.059,0.021,0.026,0.037,0.406,0.103,0.041,0.328
ID,0.09,0.431,0.116,0.093,0.096,0.086,0.529,0.077,0.109,0.079
IL,0.058,0.253,0.054,0.05,0.086,0.077,0.297,0.061,0.054,0.352
IN,0.063,0.168,0.176,0.143,0.039,0.082,0.601,0.073,0.159,0.093
IA,0.149,0.295,0.104,0.143,0.166,0.183,0.153,0.12,0.12,0.944
KS,0.065,0.573,0.141,0.177,0.143,0.075,0.43,0.306,0.141,1.037
KY,0.096,0.158,0.095,0.081,0.094,0.132,0.376,0.093,0.098,0.76
LA,0.102,0.656,0.148,0.149,0.412,0.113,0.443,0.28,0.124,0.166
ME,0.132,0.532,0.113,0.105,0.078,0.071,0.479,0.116,0.118,2.023
MD,0.078,0.188,0.142,0.253,0.053,0.078,0.68,0.091,0.13,2.96
MA,0.076,0.093,0.099,0.077,0.078,0.077,0.415,0.107,0.1,0.1
MI,0.032,0.065,0.07,0.027,0.029,0.033,0.42,0.046,0.054,0.102
MN,0.065,0.063,0.129,0.075,0.059,0.069,0.555,0.077,0.118,0.046
MS,0.091,0.089,0.233,0.125,0.088,0.074,0.569,0.123,0.199,2.718
MO,0.054,0.273,0.045,0.062,0.054,0.054,0.366,0.049,0.046,0.833
MT,0.159,0.51,0.043,0.116,0.084,0.062,0.496,0.161,0.075,0.398
NE,0.16,0.084,0.077,0.082,0.114,0.131,0.366,0.134,0.123,2.126
NV,0.092,0.292,0.12,0.117,0.119,0.103,0.47,0.122,0.115,0.442
NH,0.162,0.481,0.217,0.219,0.168,0.166,0.56,0.203,0.209,0.926
NJ,0.055,0.177,0.059,0.093,0.058,0.054,0.37,0.063,0.059,1.104
NM,0.137,0.063,0.067,0.106,0.068,0.114,0.377,0.137,0.085,1.639
NY,0.085,0.27,0.115,0.357,0.11,0.11,0.323,0.08,0.117,1.772
NC,0.061,0.151,0.073,0.067,0.071,0.061,0.534,0.073,0.065,0.212
ND,0.257,0.38,0.179,0.16,0.153,0.16,0.14,0.276,0.214,0.26
OH,0.038,0.191,0.044,0.071,0.047,0.038,0.435,0.067,0.045,1.081
OK,0.057,1.07,0.098,0.772,0.05,0.066,0.088,0.384,0.101,0.957
OR,0.062,0.258,0.045,0.046,0.105,0.062,0.397,0.124,0.048,0.304
PA,0.088,0.214,0.085,0.084,0.147,0.085,0.545,0.132,0.078,0.406
RI,0.157,0.302,0.163,0.096,0.121,0.13,0.343,0.116,0.18,0.434
SC,0.037,0.211,0.062,0.052,0.043,0.037,0.429,0.06,0.041,0.324
SD,0.257,0.455,0.146,0.137,0.133,0.159,0.285,0.346,0.164,0.37
TN,0.057,0.234,0.145,0.033,0.051,0.063,0.579,0.089,0.128,0.129
TX,0.102,0.465,0.103,0.291,0.057,0.103,0.293,0.057,0.105,1.312
UT,0.029,0.429,0.109,0.108,0.087,0.029,0.558,0.063,0.098,0.07
VT,0.24,0.798,0.121,0.598,0.06,0.089,0.364,0.241,0.135,0.598
VA,0.044,0.084,0.066,0.08,0.056,0.044,0.505,0.041,0.05,0.286
WA,0.083,0.272,0.13,0.133,0.06,0.083,0.556,0.034,0.124,0.887
WV,0.232,0.503,0.138,0.832,0.165,0.161,0.645,0.428,0.156,1.161
WI,0.07,0.116,0.103,0.075,0.079,0.077,0.407,0.061,0.091,0.282
WY,0.281,0.306,0.14,0.698,0.162,0.16,0.229,0.365,0.171,2.367
mean,0.13,0.373,0.123,0.779,0.115,0.104,0.446,0.171,0.123,1.384
