,MC,HR,VT,intercept
AL,1.2078826712515047,-0.022286523740104647,-0.18269659974296287,-0.007116405805044135
AK,1.2154092866285073,-0.023193112237404973,-0.18929005492756595,-0.007179694077006804
AZ,1.1998821121937515,-0.020805876643455706,-0.176205689392754,-0.007023628959636596
AR,1.2124290414667618,-0.02311851460649067,-0.18641568650090445,-0.006937844267804749
CA,0.5575795203393961,-0.13224171715617652,0.5794567889348724,-0.005260098059136187
CO,1.2112409804975277,-0.022741329307223807,-0.18559637803636858,-0.007044112183505202
CT,1.2140078742993343,-0.023226422322732698,-0.1878684847938935,-0.007114370944986348
DE,1.212763245281626,-0.022782157517307944,-0.18706374335087528,-0.007141597346225659
DC,1.2139483941267997,-0.022911102556198548,-0.18811584515896232,-0.0071593306872030915
FL,1.1248913493700208,-0.008440875666929679,-0.11421769395685683,-0.005552403013430407
GA,1.190425874312228,-0.018960217924884004,-0.16864113713384302,-0.006920811680661387
HI,1.2120360551593357,-0.02274975868401155,-0.1863752266075217,-0.007102353515134663
ID,1.2122565674015404,-0.02322116019720899,-0.18614512986209092,-0.006921633668926841
IL,1.1863720636518063,-0.013779441338591214,-0.16961804952844559,-0.006725856489206983
IN,1.2028377119270035,-0.021527659489611106,-0.1784330062122182,-0.007020233962800049
IA,1.195209823770065,-0.0205192318304723,-0.171865095174428,-0.006522510213187616
KS,1.2205264141529881,-0.024140307170732567,-0.19344241825889835,-0.007296654551066428
KY,1.2113379380725138,-0.02275065863612305,-0.18568345135524802,-0.0070506851785467894
LA,1.2194556487933255,-0.024647800186070074,-0.19186888280478398,-0.007376335514427179
ME,1.2105851998451045,-0.022712884020958612,-0.18497481830207818,-0.007006874653323614
MD,1.199709443129291,-0.021224363853987543,-0.1756249149695151,-0.007032040381634186
MA,1.2766350927200483,-0.0312357790694536,-0.242232308707857,-0.007646754944874434
MI,1.210327732729339,-0.0226268686706739,-0.1848012656993903,-0.007038402261108523
MN,1.2207171940831312,-0.023998096300363286,-0.1937851777778467,-0.007078854595239381
MS,1.2112126949499542,-0.022748568125041974,-0.18556275019190857,-0.0070276631601888795
MO,1.2157727529849436,-0.023525234362739983,-0.1893282028616659,-0.007173366950905535
MT,1.2111006459969755,-0.022726234779263305,-0.18547200989415646,-0.007041178858797181
NE,1.2063500895654113,-0.022490243835550733,-0.18100581224460308,-0.006661915648471517
NV,1.2119800817613489,-0.022453456663307086,-0.18660666852128782,-0.007197150439527178
NH,1.2108946799987514,-0.022792648174849633,-0.1852052337681271,-0.006994990165970716
NJ,1.2068353039146038,-0.021634338789165763,-0.182298899155567,-0.006966949250233334
NM,1.21042289985901,-0.02265627644326179,-0.18486851185287256,-0.007012534368641354
NY,1.323031395250329,-0.09118199961319715,-0.23002267496504342,-0.0055935140027645325
NC,1.1866908205648972,-0.018968533428836143,-0.16491441335303283,-0.006861905195307383
ND,1.2086268005872618,-0.02243552093998913,-0.18330419640104156,-0.006945852343382963
OH,1.329820795646205,-0.03317963717043457,-0.2932003313017595,-0.008532087807451738
OK,1.2111830732569502,-0.022727278190603495,-0.1855526578485358,-0.007045905378120665
OR,1.2100984840997722,-0.02283619402567555,-0.18436926796909267,-0.0069546052705402595
PA,1.2072842300938276,-0.0230449276646634,-0.18137134348848488,-0.006985633943354941
RI,1.2106773059969294,-0.022686962745180783,-0.18509073752169378,-0.0070233383228970325
SC,1.2106448977070203,-0.022623208031201575,-0.18511929890287365,-0.007052544087442492
SD,1.2147584420338102,-0.023087215748054196,-0.18874775143333117,-0.007165655072725041
TN,1.2150183497615445,-0.023293633715086998,-0.18880939709331956,-0.007072080895435207
TX,1.0450190725668065,0.06531070836235603,-0.10635959584836342,-0.00844860753228982
UT,1.2101670664301012,-0.02243099665195683,-0.1848315235850726,-0.00707690131139227
VT,1.211664595690233,-0.022760295833129857,-0.18599745550982627,-0.007069723996827815
VA,1.225686263010698,-0.024258179672643737,-0.19846193045134072,-0.007181624350495408
WA,1.24290243601318,-0.027916498182465582,-0.21197487762536205,-0.007366260645509826
WV,1.2112798994823257,-0.022740846600821152,-0.18563539562373904,-0.007049257574155643
WI,1.210458831077682,-0.022768697543047445,-0.18478846033226304,-0.007111441439044963
WY,1.2134623623371146,-0.02296752906693772,-0.1875779239287898,-0.007128849921872238
