,MC,HR,VT,intercept
AL,0.8408343700283654,0.3087058234930853,-0.15224243878104948,0.05051229590549866
AK,0.83776683784709,0.3408938694879027,-0.177091810752669,-0.027072174704752427
AZ,0.7494423166819787,0.38564122011332147,-0.12831717891839667,-0.12736328518565543
AR,0.9015806492780011,0.2291605925739506,-0.131125773237154,0.006886686437116651
CA,0.8252815385193559,0.30847635350763963,-0.13485771717451045,0.023667514223880914
CO,1.0643246862848637,0.15371104030057528,-0.21313725602592543,-0.09263774536779579
CT,1.0335074637528767,0.22419576754635578,-0.2579582751371932,0.005205767353498203
DE,1.0544238441881615,0.20061188710306482,-0.2529162037347187,-0.03661304488220196
DC,0.9553690249110507,0.401865509058149,-0.3603003625573856,0.051976124613226204
FL,0.8182647280054188,0.2726943318711747,-0.08876516053952385,-0.04360177305116153
GA,0.8847884710211471,0.24525564903548586,-0.12846114771035153,-0.03054003013983575
HI,0.5957658456906869,0.5548268132803102,-0.15662252854958914,0.10584465937367682
ID,0.9949711141861988,0.2701842515072533,-0.2616203743487335,-0.0618842211222983
IL,0.610447318189959,0.3987667742237695,-0.012829888637466258,0.07241444140217368
IN,0.9529384313484267,0.19622643838156117,-0.15283027076602668,0.06974686790425366
IA,1.2382626797967788,0.16676095566195925,-0.4085344150361555,0.06437285776510393
KS,0.9167823410938677,0.32371702624442156,-0.24248168903211686,0.03608446335563542
KY,0.7023851346717921,0.3439084407729107,-0.048018751034342055,0.031974757108343965
LA,1.065483018299142,0.22144619995193876,-0.28785679129108377,0.017256934758805187
ME,0.7895026079132866,0.32576698069200427,-0.1175418386549199,0.03954896365944549
MD,1.1119375357638746,0.010725546201914099,-0.12232454357010411,-0.006403993149678655
MA,0.716226283783819,0.35061396432309366,-0.06671637844274375,-0.002139485435964872
MI,0.9484817481271354,0.12091807408476152,-0.08004411660701256,0.2078488275755319
MN,0.9954596994523494,0.22546096684466094,-0.2208727361050647,-0.0007510248339919201
MS,1.0309843693826095,0.15059200698395378,-0.18327906260030583,0.030540383089160628
MO,0.7366277249553508,0.3172232179971661,-0.05592050334016402,0.03953423912139442
MT,1.0288531633726643,0.2128275479404514,-0.2399172366652923,-0.030275779218495558
NE,1.0872794305305098,0.15912021340428337,-0.24743943900991638,0.01834688986616584
NV,0.4883873211539397,0.4260909684339335,0.09598712183722669,-0.18938922146918102
NH,1.0875622210967897,0.12878414814613642,-0.21381260451096817,-0.04490352844068468
NJ,0.9644931841971909,0.11502182543949227,-0.08164411414422412,0.042051360758719625
NM,0.5583396548479078,0.5997641677014287,-0.15562292248619447,-0.04403255086020863
NY,1.1864717845306598,0.171271551026145,-0.3641524981250891,0.13108122111904308
NC,0.9097308120835839,0.3385459957469975,-0.24566986278491504,-0.04995631987940996
ND,0.29312444297893264,0.7066024968664828,0.003544882861182319,-0.057865887932599946
OH,0.7151342387602302,0.2280901296526755,0.051883298715605874,0.09643809649101698
OK,0.7714186454863013,0.4286455331981615,-0.19852684872265933,-0.028562068927751483
OR,0.9237642748490397,0.3110525944736613,-0.23551844273563094,0.012767583495367774
PA,0.6627613281507211,0.3228076780615853,0.011713578067456043,0.054378204481235315
RI,0.8335513143638171,0.3679713397948911,-0.2061198316192229,0.07946725973837587
SC,0.768969382748218,0.3170040888471946,-0.08580747718273671,-0.003201128627814853
SD,1.362936388601161,0.13594208768317134,-0.4941514616277284,-0.08029885841869344
TN,0.7704100273296675,0.40848282872078584,-0.1791309434460603,0.004606466819417676
TX,0.7860561551852646,0.3605148433478503,-0.14177418427590893,-0.09715014572125824
UT,0.8268280604870221,0.32373573257750915,-0.14539721964768995,-0.0930774239642389
VT,0.8304036969975436,0.23229031959111734,-0.06279565319499289,0.00135194849461584
VA,0.9184205590446463,0.21752968841135187,-0.13447619874765526,-0.028380177505219706
WA,0.9287308217659185,0.2662253910961103,-0.19223420062967086,-0.05203038843479746
WV,0.7510038366608505,0.38084725913934103,-0.13751322871600066,0.09960179887516318
WI,0.6704663355718719,0.337732632905311,-0.009815345463962843,0.030725113886042266
WY,0.8290318736753055,0.40692362388795145,-0.22820347667402238,-0.1300844854961376
