,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.193,0.197,0.218,0.252,0.251,0.197,1.206,0.198,0.19,2.32
AK,1.066,5.063,1.0,0.493,1.203,0.956,0.935,1.007,0.942,1.085
AZ,0.165,0.688,0.123,0.111,0.122,0.156,0.923,0.123,0.15,0.179
AR,0.246,0.404,0.238,0.225,0.315,0.246,1.056,0.297,0.257,2.783
CA,0.155,0.362,0.266,19.908,0.369,0.226,0.853,0.159,0.195,22.259
CO,0.243,0.224,0.208,0.24,0.445,0.226,1.347,0.269,0.239,0.191
CT,0.671,1.703,0.545,0.561,0.638,0.653,0.577,0.579,0.575,6.175
DE,0.196,0.835,0.163,0.325,0.099,0.196,1.389,0.212,0.16,1.037
DC,0.071,1.0,0.106,0.278,0.619,0.071,0.868,0.095,0.04,1.057
FL,0.156,0.337,0.11,0.182,0.048,0.13,1.0,0.105,0.149,8.233
GA,0.124,0.619,0.211,0.105,0.697,0.307,1.03,0.055,0.14,0.184
HI,0.05,0.75,0.089,0.088,0.127,0.07,1.156,0.083,0.048,1.532
ID,0.227,0.908,0.177,0.177,0.493,0.227,0.942,0.219,0.214,0.471
IL,0.247,0.957,0.141,0.256,0.333,0.241,0.748,0.276,0.197,6.606
IN,0.175,0.538,0.169,0.094,0.187,0.175,0.906,0.132,0.162,0.179
IA,0.551,1.52,0.42,0.395,0.708,0.551,0.599,0.419,0.504,4.883
KS,0.647,2.986,0.583,0.516,0.62,1.142,1.118,0.429,0.625,7.015
KY,0.273,0.448,0.364,0.29,0.703,0.364,0.91,0.305,0.315,2.631
LA,0.554,2.9,1.455,0.781,0.944,0.554,1.294,0.756,0.711,2.054
ME,0.163,0.68,0.25,0.179,0.482,0.236,0.969,0.224,0.23,4.445
MD,0.174,0.485,0.052,0.105,0.202,0.159,0.8,0.111,0.071,5.543
MA,0.191,0.257,0.179,0.251,0.348,0.181,0.867,0.215,0.179,0.303
MI,0.109,0.263,0.148,0.13,0.708,0.14,0.87,0.115,0.118,0.256
MN,0.256,0.257,0.307,0.171,0.366,0.254,1.07,0.251,0.272,0.286
MS,0.133,0.101,0.187,0.165,0.207,0.143,0.935,0.135,0.121,5.762
MO,0.256,0.793,0.167,0.124,0.183,0.236,0.771,0.225,0.203,2.722
MT,0.263,0.558,0.266,0.347,0.305,0.252,1.24,0.265,0.147,1.098
NE,0.326,0.442,0.276,0.354,0.161,0.32,0.942,0.258,0.309,8.21
NV,0.41,0.853,0.441,0.36,0.372,0.41,1.201,0.421,0.423,1.021
NH,0.266,0.786,0.282,0.242,0.363,0.27,1.031,0.262,0.276,1.057
NJ,0.198,0.636,0.1,0.27,0.162,0.173,0.738,0.252,0.172,4.118
NM,0.247,0.613,0.338,0.265,0.213,0.328,0.918,0.159,0.257,4.999
NY,0.233,0.81,0.288,0.306,0.203,0.318,0.844,0.292,0.231,5.826
NC,0.173,0.481,0.164,0.123,0.137,0.163,0.976,0.109,0.154,0.647
ND,1.094,4.588,0.73,1.325,4.54,1.394,0.995,1.135,1.066,1.545
OH,0.117,0.506,0.109,0.175,0.207,0.117,0.871,0.124,0.112,4.033
OK,0.531,4.747,0.312,1.246,0.44,0.419,0.628,0.31,0.296,3.232
OR,0.099,0.745,0.198,0.182,0.834,0.138,0.821,0.172,0.147,0.721
PA,0.261,0.493,0.34,0.347,0.642,0.261,1.115,0.229,0.247,1.05
RI,0.461,0.44,0.49,0.215,0.433,0.461,0.769,0.372,0.48,1.633
SC,0.156,0.681,0.115,0.194,0.157,0.176,1.058,0.13,0.134,0.58
SD,0.538,0.534,0.611,0.448,1.201,0.519,0.6,0.455,0.554,0.487
TN,0.162,0.677,0.144,0.141,0.171,0.184,0.898,0.153,0.146,0.139
TX,0.298,2.759,1.175,0.994,2.224,0.613,1.816,0.532,0.561,8.764
UT,0.158,1.121,0.064,0.261,0.154,0.158,0.972,0.046,0.082,0.829
VT,0.245,0.411,0.256,1.477,0.293,0.254,0.959,0.122,0.22,2.915
VA,0.12,0.08,0.142,0.151,0.342,0.076,1.08,0.121,0.144,0.748
WA,0.227,0.887,0.121,0.124,0.269,0.121,1.102,0.108,0.128,2.287
WV,0.388,2.599,0.54,0.582,0.346,0.391,1.335,0.478,0.317,2.888
WI,0.181,0.254,0.233,0.261,0.581,0.21,0.994,0.214,0.215,1.053
WY,0.774,3.981,1.229,2.363,1.514,1.087,0.786,0.635,0.655,2.038
mean,0.374,1.643,0.447,2.844,0.877,0.431,1.002,0.358,0.358,4.699
