,MC,HR,VT
AL,0.949346947022353,0.0,0.05065305298680436
AK,0.9424344705732288,0.0,0.057565529438972765
AZ,0.9484527599002531,0.0,0.05154724010839592
AR,0.950682471301664,0.0,0.049317528707263796
CA,0.9462083197117058,0.0,0.05379168030477457
CO,0.9505005597659586,0.0,0.04949944024282584
CT,0.9463415012391062,0.0,0.05365849877391627
DE,0.9484034487679271,0.0,0.05159655124041361
DC,0.9462362132556869,0.0,0.053763786757118966
FL,0.951313621587444,0.0,0.048686378417392484
GA,0.9409110853094439,0.0,0.059088914699647985
HI,0.9446009870963912,0.0,0.05539901291447945
ID,0.950168160333053,0.0,0.049831839675520254
IL,0.9485645990339469,0.0,0.05143540098106189
IN,0.94661011697588,0.0,0.05338988303678187
IA,0.952495791206715,0.0,0.04750420881858699
KS,0.949577844048198,0.0,0.05042215597182219
KY,0.947695830093463,0.0,0.05230416992099766
LA,0.8709106925492158,0.0,0.12908930746622874
ME,0.9465992077732788,0.0,0.05340079224172184
MD,0.9467851513274036,0.0,0.053214848686309726
MA,0.9456357530834457,0.0,0.054364246932206345
MI,0.9464603620946999,0.0,0.053539637917744715
MN,0.9478930349164776,0.0,0.052106965100562896
MS,0.9537145638142104,0.0,0.04628543620343481
MO,0.9469564666047385,0.0,0.05304353340871174
MT,0.9510179981678141,0.0,0.04898200184678141
NE,0.955319014970101,0.0,0.04468098504986131
NV,0.9441009973385008,0.0,0.05589900266264891
NH,0.9488565416066173,0.0,0.05114345840484201
NJ,0.9475215967500602,0.0,0.05247840326425411
NM,0.9473527775418469,0.0,0.05264722247288033
NY,0.9459867687063443,0.0,0.05401323130343517
NC,0.9499703004883852,0.0,0.05002969952073587
ND,1.0000000000113995,0.0,0.0
OH,0.9478478915815206,0.0,0.05215210843759797
OK,0.943454529840937,0.0,0.056545470170825056
OR,0.9476461534255096,0.0,0.0523538465829868
PA,0.9472181021872585,0.0,0.05278189782690069
RI,0.9472496540051744,0.0,0.05275034601053342
SC,0.9474482589777441,0.0,0.05255174103289645
SD,0.9542223881025099,0.0,0.04577761191610015
TN,0.946802909580228,0.0,0.05319709043262987
TX,0.9321149889983684,0.0,0.0678850110143163
UT,0.9463210082702779,0.0,0.05367899173603407
VT,0.9482161176238717,0.0,0.0517838823904312
VA,0.9467820652837616,0.0,0.053217934729125296
WA,0.9479637890543688,0.0,0.05203621095537323
WV,0.9380727107046791,0.0,0.06192728931698951
WI,0.9462376727081439,0.0,0.05376232730329801
WY,0.9284355981961021,0.0,0.07156440181799432
