,MC,HR,VT,intercept
AL,1.2424431577175692,-0.08195103548892163,-0.1599435439714191,-0.010799520779617211
AK,1.2415013011324316,-0.0863562612230252,-0.15450948250083926,-0.01246179785150403
AZ,1.2260871524334154,-0.0788254760770237,-0.1467303569086172,-0.010416018845958774
AR,1.2433156347203058,-0.08131222370522784,-0.1614313398093087,-0.011250739344159655
CA,1.2339958910640656,-0.08192185399614471,-0.15137025835760282,-0.01361887674204354
CO,1.2405911359902886,-0.08139712632258336,-0.1586636698840357,-0.01044451231527077
CT,1.228513002565919,-0.0807610479372802,-0.14721725667682728,-0.010475588047111017
DE,1.227421690475234,-0.07757908162898636,-0.14923928310285822,-0.011818926560593468
DC,1.2413469556257823,-0.08402931524526466,-0.15680902852498602,-0.009949757502990764
FL,1.232062662535558,-0.0796637189975053,-0.15194497558538284,-0.008990980356223588
GA,1.22457750004301,-0.07921805774838908,-0.14482697781461057,-0.01041940031746691
HI,1.225128613761777,-0.07913114789004227,-0.14545012345108005,-0.010707944305007544
ID,1.2282305868295689,-0.07805171330214572,-0.14960425557818102,-0.01125958022458562
IL,1.225862657869299,-0.07902417197412911,-0.146277750334646,-0.010936353576308733
IN,1.2299577952400549,-0.08075151855063664,-0.14865885706441306,-0.01068855510285971
IA,1.1923574064120228,-0.07085793011894981,-0.12100542440753939,-0.009516858749073265
KS,1.2091324075251102,-0.07508139609236994,-0.13353306976585005,-0.010071029701986589
KY,1.2269668104264304,-0.07974776368670972,-0.14668015858647315,-0.010533796319037947
LA,1.1451847044408177,-0.07258259865546295,-0.07213667845864703,-0.009078971298791316
ME,1.227351101293055,-0.08079235572726595,-0.1460470581093426,-0.009994464945222603
MD,1.2285411678245095,-0.080499842330754,-0.14748883879620395,-0.010777796191934641
MA,1.2232195853386605,-0.07941428173393825,-0.14324884829220125,-0.010841608249663182
MI,1.2281838519191677,-0.08009497685955147,-0.14754248608241186,-0.010675335998428181
MN,1.2306884490401357,-0.08125653878028816,-0.14886777942117826,-0.010968095547553958
MS,1.236818688102597,-0.08182897350224808,-0.15447942351479024,-0.009939931434040261
MO,1.2288209222901867,-0.08032553287308439,-0.14795807810897793,-0.01051949948422859
MT,1.2419140175384011,-0.08312403453239939,-0.15829806849034572,-0.00962390790737544
NE,1.224957082279127,-0.07882728688987642,-0.14564191687012762,-0.009481212554089069
NV,1.2070821897694142,-0.07174977009155048,-0.1347627340778812,-0.011217183695276134
NH,1.2330300262117027,-0.0798443194439881,-0.15262418874400957,-0.011002200479161672
NJ,1.2265680018984912,-0.0795248680047056,-0.1464948609171344,-0.010708352765004037
NM,1.2280698268297365,-0.08002418486007662,-0.14750428870495688,-0.01058952866029017
NY,1.23612608811323,-0.08267329627714409,-0.15298215717870203,-0.009293147220908793
NC,1.2304198620566356,-0.07968884862774187,-0.15020703992842294,-0.010285242704650699
ND,1.246026864815665,-0.07582350252203995,-0.16972060348342222,-0.009459042928224193
OH,1.217804684057949,-0.07733578962644336,-0.13987807975848993,-0.011456186320582873
OK,1.309307594463466,-0.10750966365082401,-0.20121404470572116,-0.011622395567297161
OR,1.2253775853127693,-0.07844416593099551,-0.14639415905949602,-0.010574658050451546
PA,1.226508203895119,-0.07954009418372074,-0.14641796460914625,-0.010743387294514406
RI,1.2260720532833806,-0.07965563076500387,-0.14588466336178543,-0.010395684678339734
SC,1.227193562289374,-0.07962651726236827,-0.14702789980116365,-0.010550386483970442
SD,1.2211090198078802,-0.0783086423267669,-0.1423496430601774,-0.008789816564757302
TN,1.2296554406277291,-0.08095163852094242,-0.14815554836791564,-0.010700241302004088
TX,1.2341801951166598,-0.08032755073804226,-0.15329062977112495,-0.010983329933992536
UT,1.215372945625216,-0.07567486775842969,-0.13915384268866304,-0.010654249721198994
VT,1.229512259262842,-0.08065370774812242,-0.14834824987393455,-0.009979392448936864
VA,1.2276975625672677,-0.07994470430355599,-0.14721395118681735,-0.010541069857925578
WA,1.2292920050204563,-0.08061956793269057,-0.14812709333769622,-0.010657261473639323
WV,1.2107807497453735,-0.07665800026191963,-0.13361465059118072,-0.009904493508834378
WI,1.2302202496946149,-0.0805064336712171,-0.14918097188597618,-0.010451198926460847
WY,1.201803986497756,-0.0799507365195834,-0.12126867495327728,-0.011400910364425698
