,MC,HR,VT
AL,0.3564033229004719,0.6435966772678133,0.0
AK,0.0,1.000000000933004,0.0
AZ,0.11510762205625724,0.8848923782087861,0.0
AR,0.5376165774240866,0.46238342246514885,0.0
CA,0.19700012550103335,0.8029998753889543,0.0
CO,0.1594691204873725,0.8405308794683527,0.0
CT,0.34180307857925185,0.658196921591066,0.0
DE,0.3461759716145194,0.6538240281463632,0.0
DC,0.14674989803170183,0.8532501011059599,0.0
FL,0.0,1.0000000010460903,0.0
GA,0.25931567621594503,0.7406843237038717,0.0
HI,0.024603308549699093,0.9753966918507082,0.0
ID,0.2360451169639894,0.7639548826260231,0.0
IL,0.27717888078439756,0.7228211196768572,0.0
IN,0.4642556669085003,0.5357443332146477,0.0
IA,0.4060634074592752,0.5939365924611703,0.0
KS,0.25581588851640613,0.7441841115010691,0.0
KY,0.2822757345898612,0.7177242655487851,0.0
LA,0.08986816896172387,0.9101318315496224,0.0
ME,0.256253448099195,0.7437465516388095,0.0
MD,0.3735095207202011,0.6264904795447304,0.0
MA,0.5217686428165887,0.47823135714915316,0.0
MI,0.46072785470788213,0.5392721456554347,0.0
MN,0.3209882495722158,0.679011750365849,0.0
MS,0.5150771216183678,0.4849228783288846,0.0
MO,0.3141216215275057,0.685878378640513,0.0
MT,0.3556127259615869,0.6443872737540257,0.0
NE,0.4628820370498008,0.5371179627146238,0.0
NV,0.0,0.9999999996927063,0.0
NH,0.4241941144932014,0.5758058851880947,0.0
NJ,0.5980057229168115,0.40199427728756404,0.0
NM,0.0450306508723635,0.9549693493867275,0.0
NY,0.5196379595978015,0.4803620406931653,0.0
NC,0.33519765985101324,0.664802340063072,0.0
ND,0.1522790698576916,0.847720929395338,0.0
OH,0.3559906073960695,0.6440093931571463,0.0
OK,0.2872314951680672,0.7127685049324458,0.0
OR,0.3468756977098854,0.6531243021497632,0.0
PA,0.44688438907020833,0.5531156112231016,0.0
RI,0.5043768549969622,0.49562314477920233,0.0
SC,0.4342889757968254,0.565711024146677,0.0
SD,0.22379439604115042,0.776205603451911,0.0
TN,0.2572998729416254,0.7427001269955557,0.0
TX,0.4130952506423295,0.586904749544301,0.0
UT,0.14334778742640403,0.8566522122591608,0.0
VT,0.5847997489101988,0.41520025080934136,0.0
VA,0.37916519665784587,0.6208348035023353,0.0
WA,0.27015484370385573,0.7298451561068828,0.0
WV,0.5105144922097298,0.48948550775919447,0.0
WI,0.2644154741221936,0.7355845260034618,0.0
WY,0.10844772844461173,0.8915522710761814,0.0
