,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.694,0.672,0.91,0.84,0.795,0.761,1.166,0.546,0.697,0.934
AK,0.794,0.724,0.918,1.054,0.996,0.794,0.636,0.769,0.693,0.459
AZ,0.435,0.376,0.38,0.388,0.434,0.376,0.823,0.412,0.364,0.537
AR,0.648,0.613,0.63,0.745,1.319,0.639,0.736,0.494,0.596,0.745
CA,0.742,0.612,0.938,1.192,0.916,0.612,1.04,0.678,0.657,0.852
CO,0.537,0.551,0.539,0.689,1.107,0.537,0.706,0.526,0.547,0.486
CT,0.583,0.791,0.759,0.742,1.477,0.749,0.895,0.695,0.719,0.534
DE,0.349,0.311,0.393,0.518,0.158,0.311,0.955,0.42,0.324,0.424
DC,0.474,0.46,0.827,0.238,2.742,0.827,1.89,0.44,0.509,0.256
FL,0.285,0.35,0.352,0.557,0.522,0.35,0.457,0.327,0.326,0.427
GA,0.175,0.542,1.023,0.491,2.348,0.891,1.488,0.483,0.444,0.561
HI,0.517,0.432,0.802,0.596,0.963,0.631,1.224,0.401,0.465,0.728
ID,0.946,0.982,1.423,0.894,1.327,1.084,1.274,0.493,0.975,0.782
IL,0.371,0.385,0.338,0.206,1.441,0.385,0.581,0.357,0.364,0.29
IN,0.523,0.586,0.685,0.677,0.733,0.668,0.732,0.827,0.585,0.912
IA,0.554,0.604,0.899,0.645,1.044,0.554,0.877,0.631,0.62,0.95
KS,0.388,0.533,0.609,0.572,0.663,0.533,0.561,0.863,0.507,0.618
KY,0.459,0.496,0.646,0.398,0.959,0.496,0.778,0.457,0.491,0.462
LA,0.902,0.723,1.128,0.746,0.965,0.902,0.976,0.411,0.815,1.006
ME,0.513,0.449,0.586,0.552,0.71,0.586,0.582,0.46,0.463,0.462
MD,1.358,1.077,0.827,0.859,0.62,0.864,0.584,1.592,1.159,1.448
MA,0.597,0.494,0.431,0.475,0.972,0.494,0.639,0.57,0.51,0.378
MI,0.532,0.55,0.683,0.383,0.603,0.537,0.377,0.566,0.544,0.721
MN,0.553,0.597,0.86,0.442,0.564,0.547,0.846,0.46,0.559,0.857
MS,0.409,0.315,0.925,0.486,0.783,0.815,0.686,0.508,0.323,0.611
MO,0.46,0.501,0.482,0.712,1.701,0.501,0.535,0.516,0.46,0.338
MT,0.895,0.691,0.558,1.057,1.11,0.691,1.309,0.857,0.714,1.083
NE,0.5,0.538,1.181,0.666,1.135,0.621,1.031,0.794,0.563,0.639
NV,0.993,0.912,0.923,0.971,0.997,0.923,1.043,0.975,0.938,0.948
NH,0.637,0.474,0.586,0.672,1.052,0.571,0.682,0.623,0.526,0.707
NJ,0.638,0.68,0.679,0.445,1.652,0.647,1.149,0.622,0.655,0.869
NM,0.372,0.406,0.615,0.534,1.004,0.534,0.779,0.346,0.422,0.389
NY,0.447,0.329,0.642,0.516,2.243,0.447,0.853,0.361,0.326,0.336
NC,0.569,0.695,1.009,1.023,0.937,0.812,0.597,0.696,0.657,0.875
ND,1.107,1.157,0.75,0.937,0.736,1.157,0.871,0.953,1.172,0.98
OH,0.299,0.33,0.614,0.349,0.967,0.33,0.621,0.338,0.326,0.523
OK,0.6,0.166,0.763,0.496,0.448,0.166,1.184,0.172,0.287,0.446
OR,1.068,0.702,1.291,0.765,2.757,0.887,2.611,0.664,0.838,0.545
PA,0.705,0.688,0.606,0.614,1.229,0.688,0.5,0.916,0.693,0.759
RI,0.635,0.597,0.82,0.533,0.31,0.597,0.421,0.656,0.619,0.734
SC,0.551,0.597,0.568,0.826,0.519,0.554,0.605,0.565,0.53,0.837
SD,0.611,0.71,0.615,0.622,2.171,0.611,0.695,0.48,0.676,0.711
TN,0.751,0.624,0.645,0.739,1.073,0.562,0.61,0.647,0.665,0.585
TX,0.741,0.652,1.376,0.569,1.312,0.878,1.312,0.587,0.761,0.391
UT,0.69,0.627,0.954,0.693,1.188,0.366,1.468,0.57,0.605,0.581
VT,0.597,0.543,0.956,0.485,1.169,0.956,1.279,0.719,0.597,0.613
VA,0.403,0.401,0.466,0.592,0.697,0.401,0.56,0.459,0.406,0.687
WA,1.5,1.646,0.515,1.184,0.839,0.727,1.139,1.514,1.677,1.184
WV,0.612,0.319,0.751,0.476,0.22,0.541,0.753,0.381,0.432,0.484
WI,0.541,0.436,0.775,0.645,0.692,0.545,0.554,0.523,0.484,0.633
WY,1.16,0.619,1.428,0.793,1.919,1.302,1.515,0.696,0.921,0.802
mean,0.688,0.641,0.811,0.689,1.229,0.683,0.993,0.66,0.661,0.712
