,MC,HR,VT,intercept
AL,-1.3876401772767433,2.070186650131961,0.24396540995173552,0.048816945619015284
AK,4.118907099815111,-0.8134496226268793,-1.8612752454564934,0.26759855008780997
AZ,-1.7763711739324421,2.075119501133699,0.46560605024313906,0.523255881555889
AR,4.881834667887188,-4.094478405191802,0.317412911052525,-0.15293884410065284
CA,0.1539890897660718,2.341527636888352,-0.9453358794055688,-0.5813304684769545
CO,2.904502950626644,-0.43834319957551116,-1.6246243960790112,0.18242117068946417
CT,-2.8360755310106383,3.621287912747272,-0.10437492578759455,-0.08646192223630828
DE,-0.1091813861786797,1.9088625518876718,-0.6330233358686839,-0.028506974679853525
DC,-9.178785111125231,8.66473338824357,-0.9963788188109926,5.35688702754485
FL,-3.1071662240456064,5.216672275038466,-1.5310946308085613,1.1160563842378244
GA,-1.321708401008514,1.576724930060086,-2.9281067864306514,4.403683679320624
HI,-0.25307284589037365,1.1044976922116032,-0.7576847687544301,1.0432385691560044
ID,0.818695204036606,-0.5674874359520306,-3.067524223674857,4.046417952576965
IL,2.2919617869878923,-0.6377462077749076,-1.958334625436292,1.2001782022410754
IN,-1.4165235558978433,1.0407394869525692,1.1348401438425577,0.42346447763117034
IA,1.8256134886204216,-1.2981890182979623,-4.187037486763173,2.7468678801266697
KS,-2.698259806922005,4.453593144132996,-1.1743943858115111,-0.5414340693888754
KY,4.186689172135749,-0.33850797126135834,-1.6119472047387653,-0.7770304196227638
LA,1.3204757703737453,-0.1879228952640104,-3.640359176556447,0.1458650103257873
ME,0.7343415833684321,-0.9621092639461892,1.4091615497257721,-0.16803615027285324
MD,-0.7371119210693892,1.3260444253248589,-0.38460375881912817,0.9621193889508899
MA,-2.081981810046532,6.725213000190889,-3.8709498248143692,0.5403062821033551
MI,0.7055453067202304,0.5867462630765075,-0.4451167248077005,0.17926082972443225
MN,-1.5735335886137034,3.4598390261408047,-1.90742018856753,1.1332992503944759
MS,0.17119616192861975,-0.1158001288662705,-5.084794934484439,2.27133893040845
MO,-7.270573328021811,8.377854341327394,-0.09733979368478662,-0.28379460814175705
MT,-1.4732417838656549,1.6446177866878102,-2.34008472732852,2.5513144740318054
NE,1.2944610247598154,-1.2126442626945348,-3.895396224830073,2.509483257038888
NV,-3.1705935629197897,3.605770678709788,1.26467610799549,-0.5699376616397569
NH,1.4679606924148934,-2.1904454128019584,2.4803991119128623,-1.314660029252646
NJ,0.9608586021484951,-0.0656074689806394,-2.2888822164157525,1.8970112437920768
NM,-2.4956934253489367,2.678564976996039,0.42144222198037185,-0.006196495627645904
NY,3.6149097790436104,-0.702271830522843,-2.9187587259504317,0.9909573781400156
NC,-1.5325932550992758,2.1989264947832274,-0.12273707096758191,0.657431867411084
ND,-2.543494303716179,2.0026883877884467,-0.028438498580822813,-1.361165020528274
OH,2.5480118828189515,-1.9519593867794367,1.2611839551439834,-0.7567662501787255
OK,-1.9768900428442067,3.034324556553354,1.1581544028503872,-0.49397053699046933
OR,-0.21427208961396277,0.22853145872795239,-4.169058203412012,7.433790156008347
PA,4.05124572430694,-1.4687726403639938,-1.374007556998848,-0.040761911178031185
RI,2.1390196450272616,-0.040505663971412476,-0.34492732363557055,-0.5359714949482397
SC,-1.0577579637879175,2.609379326451008,-1.1851012334562119,1.0836623251287583
SD,4.957964400936353,-2.800585258262816,-2.669166733228435,1.3655858122301683
TN,-1.0165082815493616,1.1454405845955422,1.6895012462570276,-0.9476661911303457
TX,0.03886522317447315,-0.02390721223558334,-4.937952620782927,1.8414572740179689
UT,-1.0567122760035685,1.3803657695586966,-2.8013149396663715,5.308239713775001
VT,-0.11731898217749782,0.10059500410374603,0.44105413005793215,0.2895435576120917
VA,-0.5827628002037816,3.4391174882366995,-1.7735930158902962,-0.16515841758652983
WA,0.1261985787498215,-0.043517993936652,-4.434588626782474,6.274936120109347
WV,1.823112610038675,2.132621618030754,-2.3521205662840243,-0.6082256535790381
WI,1.1751867290369333,-0.2546822296553749,-0.12356897670951034,0.10152197386765038
WY,-0.05142435728986797,0.022691214336971632,-4.862327188888796,-3.38934142852517
