,MC,HR,VT,intercept
AL,-0.10901885523993907,0.5075676648580518,0.1713303586858998,0.3174792023391615
AK,-0.01016527039665335,0.2469347952610793,0.16360626406702594,0.4310318869144734
AZ,-0.10512740042585615,0.4388115957030212,0.1729290565559773,0.35979327159612773
AR,-0.08767875615180651,0.4017799853374662,0.17556232592187243,0.3765615562242253
CA,-0.08589407514139136,0.49528846046871294,0.15898272779934924,0.32255191070860056
CO,-0.0957563343916638,0.46767004882207347,0.16503207361243388,0.3401188723125843
CT,-0.12388546638977742,0.5080879574214474,0.19664283287474205,0.30873993606885963
DE,-0.0899671547340903,0.41368969991938825,0.16611640110124593,0.37096603449001864
DC,-0.11117858771540626,0.47396664057456894,0.1800990298444083,0.33722782109882277
FL,-0.11708827586024244,0.4721910489427969,0.17519550548361962,0.34171011144467617
GA,-0.1310098740192852,0.5108445841154614,0.18101187231958776,0.3209596212294038
HI,-0.11159165004024026,0.49024608599193825,0.17628959953435547,0.325697601432943
ID,-0.03769487070015065,0.2883266247606808,0.16368997049747538,0.4316785128538506
IL,-0.10353887456162675,0.48352503833242216,0.17007840373873057,0.33344865841634086
IN,-0.11212788420132969,0.49349843144494415,0.17569259628979822,0.3269977995635497
IA,-0.11390443237674017,0.6088185697451144,0.14105353007326304,0.2831870167938393
KS,-0.23471525125491277,0.6283741371432212,0.25185016761149814,0.2765068370765299
KY,-0.09197855894352831,0.450976795540193,0.16801072642789533,0.3470469745767441
LA,-0.12740916970534438,0.4850059460249487,0.2033725054679159,0.32200267700799456
ME,-0.09649470496668575,0.4289443014289315,0.17641298324677535,0.3638106056929101
MD,-0.10440306326112418,0.4862623595790306,0.17131155238815882,0.3301718567506807
MA,-0.11311659625074612,0.5498263275438461,0.16934007272863727,0.29529825304377133
MI,-0.15570639381948687,0.498941346503095,0.21742015949114413,0.32416224430459384
MN,-0.11551695973625122,0.4636381435769066,0.2085539171886296,0.33597669790519336
MS,-0.06631841023597432,0.4142553535563285,0.1463538514330488,0.37496048201260185
MO,-0.10498208140737603,0.4906635176113791,0.17222945859383848,0.3263598219935252
MT,-0.11994493930941318,0.5219293377184788,0.18081149967357885,0.31502145005437654
NE,-0.04805209050919171,0.31420545187163873,0.14142223128577802,0.4415663844169892
NV,-0.015260921219803382,0.4763420897756872,0.0547486851583871,0.3401193432008953
NH,-0.10270698862943399,0.48648030430300565,0.16808662239950117,0.33042798327211714
NJ,-0.10020134149633148,0.47182746280353066,0.17138036458394662,0.3367780472726165
NM,-0.10334498502852926,0.48523768371825954,0.16984921716189133,0.3318071036504491
NY,-0.14657310504823443,0.5650872479264106,0.2014381345031956,0.2816225584589091
NC,-0.11626645812531713,0.506821759835032,0.17578797426855092,0.31974094497371053
ND,-0.0240032888621079,0.7293336214622735,0.09896688082704275,0.14460961436684483
OH,-0.12459706080488345,0.49872650132510055,0.19026847003722136,0.3290494008082555
OK,-0.12893520938467296,0.5635595182139013,0.2131948346937126,0.2608997819191942
OR,-0.072757050587225,0.5239038328603158,0.12781522446611637,0.3072908248900797
PA,-0.1116574034760163,0.49818187507251965,0.17645217290619097,0.3240341742626408
RI,-0.12791569636767985,0.5462908226764165,0.1797899123705889,0.3008942025279555
SC,-0.10421823015558722,0.4856766476015582,0.1716982679130148,0.3304187695904357
SD,-0.0963675129338779,0.6145983622088808,0.12406589955624658,0.27025940978834695
TN,-0.09809335477440077,0.4409791520173774,0.17170143273204708,0.3558142516757833
TX,-0.10171308093956168,0.4898794826159982,0.16748109852306964,0.3291456773203387
UT,-0.10480848325764308,0.49761167722174693,0.1458193456600383,0.3333778775411775
VT,-0.10446776349691175,0.4865064134289771,0.1716935987134675,0.329430229673305
VA,-0.10518247807106766,0.4881844582615812,0.17240163061890085,0.3295059972301584
WA,-0.11415872638726977,0.5126772695400401,0.17214341163031838,0.3172387893026017
WV,-0.16741210712225824,0.5184812727157373,0.21411835876869995,0.33113147614535954
WI,-0.08785374494743968,0.4346474858555003,0.16547181395886212,0.3560877259742026
WY,-0.09572262682025644,0.5214825639473502,0.17009527220780268,0.29858455653315835
