,MC,HR,VT
AL,0.09585605642981235,0.2507065134072206,0.6534374299732767
AK,0.16117624830303343,0.8388237513171626,0.0
AZ,0.46811670768699076,0.19769242969335063,0.3341908626783143
AR,0.0,0.0,1.0000000001711098
CA,0.0,0.0374488585931514,0.9625511421762573
CO,0.9999999999525502,0.0,0.0
CT,1.00000000040089,0.0,0.0
DE,0.0,0.14267661862937517,0.8573233811552843
DC,0.0,0.3736391718098902,0.6263608286059589
FL,0.0,0.23241220825035336,0.7675877916473268
GA,0.0,0.9999999998236929,0.0
HI,0.0,0.0,1.0000000000518618
ID,0.5799234298273471,0.061603827363260005,0.3584727422838883
IL,0.0,0.9999999996305972,0.0
IN,0.0,0.32964814485748273,0.6703518549366195
IA,0.0,0.12409998076368603,0.8759000191323331
KS,0.0,0.44733436529959164,0.552665634162182
KY,0.0,0.9099233810530877,0.09007661867066001
LA,0.8793086852849298,0.12069131458551759,0.0
ME,0.0,0.0,1.0000000000789198
MD,0.388726232626577,0.09490421434200041,0.5163695529416218
MA,0.0,0.29988412917635004,0.7001158710056462
MI,0.0,0.9999999999039644,0.0
MN,0.037535716876361966,0.0,0.9624642831406093
MS,0.0,0.5403890199908267,0.4596109793164163
MO,0.8799660468850511,0.12003395308658234,0.0
MT,0.0,0.9999999997320577,0.0
NE,0.0,0.0,1.00000000039467
NV,0.0,0.004767824415244981,0.9952321758010874
NH,0.0,0.0,1.0000000002180809
NJ,0.7395934886519421,0.0,0.2604065112508094
NM,0.0,0.0,0.9999999995427425
NY,0.0,0.13287355020491073,0.8671264499155548
NC,1.0000000002767833,0.0,0.0
ND,0.0,0.19592675904715384,0.8040732432894421
OH,0.3771465021011697,0.0,0.6228534977109187
OK,0.0,0.6671079373023135,0.3328920624414277
OR,0.15296445716422608,0.3980221405406405,0.4490134024390173
PA,0.8977470968177986,0.0,0.10225290318258712
RI,0.0,0.1618506261603299,0.8381493738897656
SC,0.7388087625474545,0.0,0.26119123741702915
SD,0.0,0.5785429468306722,0.4214570533801072
TN,0.0,0.7058781750149916,0.29412182498903106
TX,0.0,0.08002353393240616,0.9199764662777222
UT,0.10559189541400371,0.03219336064273092,0.8622147445570737
VT,0.0,0.0,0.9999999997315245
VA,0.0,0.40670939958439645,0.593290600603704
WA,0.0,0.0,1.000000000354757
WV,0.3868635214412284,0.13848581790812362,0.4746506603353418
WI,0.0,0.87417054429606,0.12582945586038044
WY,1.0000000009101067,0.0,0.0
