,MC,HR,VT
AL,0.7862088791736029,0.05167003214240515,0.1621210886298371
AK,0.7917643536379098,0.04067979008232797,0.16755585623337005
AZ,0.8075348158897658,0.04633443749836315,0.14613074657092173
AR,0.7820161722221067,0.055627969045711635,0.1623558586808088
CA,0.7721519122834138,0.04139585692809739,0.18645223075572342
CO,0.7846663384368942,0.05310840697764719,0.16222525453502282
CT,0.8066770644881354,0.042505505199492484,0.15081743025272487
DE,0.8281383486655828,0.04249236068556066,0.1293692905867028
DC,0.9316967925167842,0.05144034252221356,0.016862864915923908
FL,0.7942833418826484,0.04754322365095185,0.15817343441880735
GA,0.7782723411119297,0.062167906710009165,0.159559752122803
HI,0.7856819988201784,0.058927776241525245,0.15539022488605894
ID,0.8010457193521162,0.049065838712678604,0.14988844189602168
IL,0.7803027801272697,0.05639078525081915,0.16330643457047733
IN,0.7769312107482107,0.05452378719905474,0.1685450019958593
IA,0.7670939821775526,0.14822163288101817,0.08468438491678607
KS,0.7676698061851517,0.05593737455691922,0.17639281920628977
KY,0.8169493798741976,0.029895680448665522,0.1531549396119991
LA,0.8312485136909378,0.020015120659029825,0.14873636558175982
ME,0.7747137672943163,0.05879676844091995,0.16648946421447472
MD,0.7739325187874386,0.04744217997467018,0.17862530119044912
MA,0.7758630155624354,0.05363152685467168,0.17050545753487453
MI,0.7948152232775444,0.02763670563992255,0.17754807101636003
MN,0.762481463581742,0.0540404132222227,0.18347812315538922
MS,0.6934737789788868,0.1218271125094991,0.184699108482517
MO,0.7985606072669141,0.04786113783342767,0.15357825484349413
MT,0.7542209181057319,0.07331798708012721,0.17246109476745372
NE,0.7023488766972276,0.0957130377825229,0.20193808547621603
NV,0.7614065266032944,0.08350007283248592,0.15509340050947876
NH,0.7797259928352598,0.05689196833732443,0.16338203877503107
NJ,0.7833523982268731,0.056065913367584735,0.16058168835228384
NM,0.7418475088082384,0.07173930079653627,0.18641319035250303
NY,0.8031293718752855,0.046787185792106514,0.15008344227448314
NC,0.7822261474674159,0.04704576244824483,0.17072809003838393
ND,0.6548631846925356,0.06618042164855585,0.2789563935755509
OH,0.7300945144068968,0.08607076826165543,0.18383471729211226
OK,0.7813611766421953,0.032757048615474814,0.1858817746752192
OR,0.7821510667602661,0.06758619175030678,0.15026274143169718
PA,0.8160067091184985,0.040882642084653975,0.14311064873608098
RI,0.7840896530147201,0.05430262998037307,0.16160771695193488
SC,0.8005385658708369,0.040069210181899115,0.15939222390241045
SD,0.7862157878382763,0.05641663433958787,0.15736757777384394
TN,0.7800503386848459,0.06523152245520472,0.15471813880554708
TX,0.796940766023425,0.02555956206888795,0.1774996718727896
UT,0.7701841089560235,0.08408252483966805,0.14573336614158736
VT,0.7855229692793022,0.05116507778845811,0.16331195288316738
VA,0.7909872627219104,0.04075488002508118,0.16825785720940156
WA,0.7909398818569681,0.04414116526407953,0.16491895283142724
WV,0.7383460034975565,0.09209921079263793,0.16955478567630639
WI,0.795257264963272,0.029846293575232077,0.1748964413898265
WY,0.7933033644076337,0.05248898717467332,0.1542076483754275
