,MC,HR,VT,Abadie,unres_hr,res_hr,RF_hr,unres_vt,res_vt,RF_vt
AL,0.023,0.031,0.018,0.042,0.025,0.025,0.136,0.027,0.023,0.062
AK,0.019,0.053,0.053,0.061,0.025,0.027,0.042,0.022,0.019,0.015
AZ,0.013,0.05,0.033,0.019,0.01,0.012,0.165,0.017,0.013,0.038
AR,0.012,0.018,0.023,0.016,0.012,0.013,0.097,0.012,0.012,0.16
CA,0.022,0.061,0.124,1.788,0.022,0.034,0.233,0.022,0.022,1.709
CO,0.013,0.09,0.029,0.117,0.015,0.021,0.139,0.012,0.013,0.06
CT,0.045,0.097,0.083,0.137,0.048,0.061,0.065,0.037,0.045,0.207
DE,0.019,0.054,0.022,0.044,0.016,0.019,0.189,0.021,0.019,0.073
DC,0.072,0.155,0.134,0.182,0.088,0.106,0.296,0.061,0.072,0.177
FL,0.017,0.064,0.087,0.025,0.02,0.029,0.216,0.01,0.017,0.562
GA,0.012,0.062,0.025,0.026,0.015,0.017,0.2,0.016,0.012,0.026
HI,0.062,0.072,0.13,0.107,0.066,0.067,0.2,0.054,0.062,0.12
ID,0.014,0.09,0.035,0.035,0.021,0.031,0.2,0.014,0.014,0.057
IL,0.017,0.052,0.014,0.054,0.025,0.027,0.132,0.018,0.017,0.311
IN,0.021,0.038,0.032,0.031,0.024,0.021,0.219,0.022,0.021,0.042
IA,0.022,0.046,0.026,0.019,0.022,0.024,0.128,0.022,0.022,0.185
KS,0.019,0.113,0.062,0.049,0.033,0.051,0.028,0.014,0.019,0.118
KY,0.015,0.026,0.015,0.015,0.017,0.018,0.149,0.018,0.015,0.117
LA,0.029,0.09,0.033,0.051,0.036,0.038,0.041,0.03,0.029,0.152
ME,0.015,0.042,0.022,0.035,0.021,0.021,0.151,0.016,0.015,0.258
MD,0.015,0.04,0.028,0.024,0.014,0.015,0.177,0.016,0.015,0.381
MA,0.022,0.03,0.065,0.052,0.019,0.022,0.187,0.023,0.022,0.021
MI,0.017,0.024,0.097,0.15,0.021,0.015,0.271,0.033,0.017,0.035
MN,0.017,0.015,0.025,0.02,0.014,0.015,0.144,0.017,0.017,0.023
MS,0.036,0.078,0.062,0.077,0.036,0.04,0.084,0.034,0.036,0.344
MO,0.017,0.064,0.045,0.037,0.028,0.03,0.123,0.009,0.017,0.137
MT,0.014,0.032,0.035,0.042,0.012,0.018,0.146,0.013,0.014,0.077
NE,0.012,0.015,0.019,0.017,0.013,0.011,0.081,0.015,0.012,0.289
NV,0.024,0.082,0.023,0.035,0.016,0.024,0.175,0.034,0.024,0.108
NH,0.035,0.05,0.057,0.054,0.034,0.036,0.135,0.037,0.035,0.103
NJ,0.014,0.036,0.011,0.053,0.014,0.014,0.161,0.016,0.014,0.182
NM,0.014,0.029,0.052,0.039,0.019,0.022,0.06,0.014,0.014,0.2
NY,0.02,0.059,0.02,0.13,0.026,0.025,0.155,0.023,0.02,0.305
NC,0.019,0.031,0.012,0.032,0.02,0.021,0.183,0.025,0.019,0.045
ND,0.034,0.121,0.031,0.271,0.081,0.083,0.064,0.054,0.034,0.063
OH,0.016,0.054,0.009,0.044,0.017,0.021,0.154,0.013,0.016,0.161
OK,0.049,0.161,0.028,0.111,0.096,0.094,0.073,0.061,0.049,0.129
OR,0.026,0.126,0.063,0.059,0.048,0.052,0.266,0.02,0.026,0.085
PA,0.019,0.056,0.024,0.049,0.027,0.025,0.129,0.021,0.019,0.1
RI,0.024,0.022,0.046,0.038,0.013,0.022,0.183,0.021,0.024,0.199
SC,0.018,0.071,0.044,0.015,0.032,0.033,0.202,0.013,0.018,0.074
SD,0.018,0.016,0.024,0.026,0.027,0.016,0.114,0.027,0.018,0.049
TN,0.015,0.046,0.025,0.033,0.02,0.022,0.222,0.018,0.015,0.03
TX,0.021,0.054,0.019,0.146,0.026,0.024,0.073,0.036,0.021,0.238
UT,0.052,0.118,0.083,0.131,0.061,0.07,0.218,0.045,0.052,0.122
VT,0.014,0.017,0.016,0.401,0.01,0.011,0.1,0.02,0.014,0.348
VA,0.009,0.028,0.019,0.038,0.014,0.012,0.137,0.01,0.009,0.06
WA,0.04,0.09,0.093,0.055,0.038,0.055,0.213,0.028,0.04,0.14
WV,0.034,0.12,0.052,0.232,0.053,0.059,0.031,0.036,0.034,0.141
WI,0.014,0.033,0.009,0.011,0.017,0.019,0.134,0.013,0.014,0.079
WY,0.036,0.094,0.074,0.128,0.059,0.061,0.049,0.03,0.036,0.133
mean,0.027,0.071,0.054,0.27,0.035,0.039,0.16,0.027,0.027,0.299
