,MC,HR,VT
AL,0.09863563572973334,0.2164843800737821,0.6848799841951457
AK,0.6426512697099538,0.31051122229907663,0.046837507977034204
AZ,0.22771250812339702,0.0,0.7722874918825823
AR,0.18004564766704262,0.047298315114467325,0.7726560372230522
CA,0.0,0.0,1.0000000000162523
CO,0.0,0.1792678884254507,0.8207321115563122
CT,0.6698554215354537,0.1535547056709039,0.17658987282889185
DE,0.9157070986637096,0.0,0.08429290133116704
DC,0.041863009596572937,0.0,0.9581369903919159
FL,0.0,0.1290245505760349,0.8709754494409577
GA,1.0000000000140012,0.0,0.0
HI,0.0,0.0,0.999999999999813
ID,0.26059791607439886,0.0,0.739402083926186
IL,0.5200486121000197,0.017318651555699588,0.46263273633715224
IN,0.689893107298638,0.31010689271611513,0.0
IA,0.999999999973944,0.0,0.0
KS,0.7254369267653752,0.0,0.2745630732133491
KY,0.9999999999910089,0.0,0.0
LA,0.8100549275892983,0.0,0.18994507238651795
ME,0.8237678105333486,0.0,0.17623218947520647
MD,0.3655537913151278,0.0006397797988934035,0.6338064289014306
MA,0.0,0.08091727619958226,0.9190827238190543
MI,0.849627737744186,0.15037226227944395,0.0
MN,0.0,0.0,0.9999999999990693
MS,0.20031107800353767,0.3475115157373189,0.4521774062513699
MO,0.9513173669372023,0.04868263307357872,0.0
MT,0.5321321586570101,0.2591577655314133,0.2087100758010097
NE,0.9999999999998255,0.0,0.0
NV,0.47322896125844355,0.1325176535270846,0.39425338520551106
NH,0.0,0.0,1.0000000000253757
NJ,0.18715983652114881,0.0,0.8128401634840597
NM,0.4574936138387601,0.3502971467404812,0.19220923942732795
NY,0.297382478051031,0.0,0.7026175219494886
NC,0.3283690886053821,0.0,0.6716309114025157
ND,0.0,0.17757489614178423,0.8224251038523778
OH,0.9999999999988508,0.0,0.0
OK,0.13378441541119415,0.0,0.8662155845611553
OR,0.78797203229548,0.0,0.21202796770263843
PA,0.9999999999965492,0.0,0.0
RI,0.21250236405926431,0.022976802658932628,0.7645208332772299
SC,0.0,0.05167408952759541,0.9483259104685146
SD,0.36476522140761974,0.2675329595558764,0.36770181903847315
TN,1.000000000018725,0.0,0.0
TX,0.8706091427072993,0.0,0.1293908572697471
UT,0.6085605754355067,0.0,0.3914394245781304
VT,0.63867775905249,0.0,0.36132224094941995
VA,0.4893441187431187,0.05209937960890603,0.4585565016592306
WA,0.33663316326712694,0.0,0.663366836726983
WV,0.42168473742265716,0.0,0.5783152625643816
WI,0.36381556873672444,0.0,0.6361844312627002
WY,0.03384772788030841,0.02994755145143356,0.9362047206712812
