,MC,HR,VT,intercept
AL,0.1537026985431541,0.2490534680237887,0.5845382957915137,0.24122488989800317
AK,0.8025318445604595,0.3339346719441999,-0.18070732144430585,0.7733156092910249
AZ,0.5691716289699466,-0.0993800887269517,0.5417675497185935,-0.22333253674101883
AR,0.20216054971784161,0.07474827422385777,0.734404831744325,-0.20929411659988162
CA,0.13945001527638703,-0.13029079139074934,0.9943113588205039,-0.07401165203171445
CO,0.008991402136456926,0.242868703675715,0.7597052901609127,-0.22434080975920523
CT,1.2096021592321287,0.40616002619645664,-0.7774983060255282,3.120101280690289
DE,0.9193671078493977,0.00212092171175475,0.06932555175341451,0.1610166861384279
DC,0.7310531847189295,-0.2596697918600117,0.551641276040354,-0.4056257568022339
FL,-0.2672611391910137,0.17958418987473157,1.0786889746867823,0.18509222285215898
GA,1.7397190364622825,-0.2730032359789964,-0.430096627823644,-0.7237702627273919
HI,-0.00371110519475967,-0.03359684457528933,1.0405622759444568,-0.058481614034501916
ID,0.43291374949470285,-0.01063376074602862,0.5887051325199933,-0.19651314572018208
IL,0.5354690025004271,0.0013264493605618655,0.46303183584527763,0.0032925847339555503
IN,1.493939336317431,0.33026180282848727,-0.8404738071513365,0.3158620977307436
IA,1.5292729768801447,-0.19159795280538744,-0.35939995417757503,0.40579219819506207
KS,0.8404633822290751,-0.024457334587471916,0.15703013121800197,0.5035826166005499
KY,2.473358112986512,0.1333390647099052,-1.640079286997411,0.6309884412650497
LA,0.742161465178206,-0.7320004213379181,0.9650717580697874,0.4711541766298524
ME,0.9456184626981048,-0.04509369092580156,0.09521704139330878,0.07611441877361713
MD,0.34133435381743854,0.03695044724656332,0.6205966368051008,0.022349375132112215
MA,-0.030849794056674477,0.09608905594868822,0.9359659635995108,-0.023369880907939233
MI,0.8469343957047915,0.17864863511389822,-0.0272984004022353,0.034581291435920036
MN,0.24826657418375514,-0.30444740050696895,1.0586617679505839,-0.04811245573685241
MS,0.3042101559616265,0.3366144915363017,0.32937739726719933,0.5487948382736256
MO,1.2000551937657906,0.07322917136947386,-0.29489906496324814,0.41791660270940056
MT,0.5737699787546555,0.25479306501844656,0.16390861005058963,0.13167749016746555
NE,1.6748149945120658,0.07341064911858042,-0.7707157877562036,0.4115110881854669
NV,0.6596120684515965,0.13000837614610375,0.22079174787892414,-0.19332883135672319
NH,-0.7519517145702488,-0.0868196100260119,1.860342321490746,-0.38895685735874963
NJ,0.17704297385076262,-0.0066552286412099315,0.8334744063115445,-0.07728443352908343
NM,0.4880356052567197,0.3578268701988479,0.13910145707642688,0.27286619494399034
NY,0.1955460237437697,-0.16726834988325567,0.9621691159488994,0.19845589791616547
NC,0.497018353317613,-0.16995536261999442,0.6856643745204545,-0.2514755509790447
ND,-0.6342513325781817,0.3411631591402413,1.3217734065140463,-0.5028424251336503
OH,1.3870117751316517,-0.16034501890838454,-0.23340862905715826,0.1345360736493717
OK,0.29126753903124386,-0.18770691965884323,0.8899319471538703,0.12243900678246433
OR,1.522031574758914,-0.07355207161322058,-0.41670369611186225,-0.6003135690604005
PA,1.6169518179541036,-0.21985933469480512,-0.41544671144251877,0.37058121965742075
RI,0.27477832979250694,0.0358860647162349,0.6784016893386983,0.19365177706281855
SC,0.015734298207968716,0.05534021470866424,0.9360984077818708,-0.13619977467782718
SD,0.5262494336585256,0.2712944321400868,0.16000847515725683,0.741645926405667
TN,1.3405099381374526,-0.06622440428033524,-0.2659075822460102,-0.16173898588459323
TX,1.323311801601039,-0.11477941449650284,-0.19544961826551524,-0.27401671912894443
UT,1.7839000541023258,-0.28579105061117094,-0.4580034430214962,-0.7405157258948485
VT,0.8536550092027743,-0.09477781911289643,0.23921649778016707,0.03294609807474913
VA,0.5433073211668517,0.17654001114475476,0.2640479235669273,0.3199116053601827
WA,0.885356311178651,-0.2297666701497969,0.3608527137469635,-0.3230254130680983
WV,0.7535567583985731,-0.3271189823561833,0.5341709795125975,0.7080988636004335
WI,0.42701309817335575,-0.05795448502796202,0.6370700924722316,-0.1185699560836575
WY,0.03986977776928783,0.036511597463159795,0.9289117580471162,-0.09127698390053851
