,MC,HR,VT
AL,0.9446454000512272,0.0,0.05535459992131257
AK,0.9508283964348423,0.0,0.04917160354801795
AZ,0.966583079593059,0.0,0.033416920383153255
AR,0.9474143781644835,0.0,0.052585621809661205
CA,0.9397367038666122,0.0,0.06026329612395308
CO,0.9798309838034367,0.0,0.020169016174300426
CT,0.9810379588517909,0.0,0.018962041129704718
DE,0.9496617631615945,0.0,0.050338236812145304
DC,0.9706908546512182,0.0,0.02930914532897439
FL,0.9947734610236573,0.0,0.005226538950031145
GA,0.9784721183060974,0.0,0.021527881669183197
HI,0.9697155810893912,0.0,0.030284418887342977
ID,0.9822464316867762,0.0,0.01775356828801909
IL,0.9757466122410177,0.0,0.024253387742478878
IN,0.9548025912221441,0.0,0.045197408752631445
IA,0.9999999999912449,0.0,0.0
KS,0.9919291000834807,0.0,0.008070899898791383
KY,0.9759213658746613,0.0,0.02407863410550411
LA,0.9260462674114582,0.0,0.07395373256202963
ME,0.9767304195829597,0.0,0.02326958039693628
MD,0.9726187831902027,0.0,0.027381216786461552
MA,0.9569338167167106,0.0,0.04306618326985943
MI,0.9752276685551022,0.0,0.024772331423155124
MN,0.9928150677003345,0.0,0.007184932281239534
MS,0.9695996787972849,0.0,0.03040032118141528
MO,0.9758226992039919,0.0,0.02417730077463217
MT,0.9766258067518826,0.0,0.02337419322796762
NE,0.9999999999901794,0.0,0.0
NV,0.9829783983706888,0.0,0.017021601596918602
NH,0.9900016930072177,0.0,0.009998306965081614
NJ,0.9862918073204832,0.0,0.013708192661198871
NM,0.9884330346709576,0.0,0.011566965310928063
NY,0.9768278994753197,0.0,0.023172100501399045
NC,0.9694589276242885,0.0,0.030541072351140567
ND,0.9674555609560808,0.0,0.03254443904596312
OH,0.9773647639372282,0.0,0.022635236048485875
OK,0.9903370791235183,0.0,0.00966292085712084
OR,0.9953692564950853,0.0,0.004630743480913862
PA,0.9792144359967391,0.0,0.020785563983594386
RI,0.9775537311714325,0.0,0.022446268812517923
SC,0.9657772788827805,0.0,0.03422272109385504
SD,0.9894174648582302,0.0,0.010582535128799876
TN,0.9748867135862974,0.0,0.025113286391702516
TX,0.9748161935620698,0.0,0.025183806419514607
UT,0.9999999999700773,0.0,0.0
VT,0.9778970663030527,0.0,0.02210293367655365
VA,0.9730648721760888,0.0,0.026935127802381807
WA,0.9859499084329894,0.0,0.014050091542712919
WV,0.9999999999822344,0.0,0.0
WI,0.956785979584343,0.0,0.04321402039167137
WY,0.9845845627270772,0.0,0.015415437254762687
