,MC,HR,VT,intercept
AL,1.3213257459326284,-0.10289507248359767,-0.21805950552642728,-0.007543598499413662
AK,1.5602327389173907,-0.12192580181046236,-0.4377104191354416,-0.012016175164880849
AZ,1.3533318754731603,-0.10452666025905702,-0.24842088794771483,-0.007720910527655889
AR,1.3245969879676578,-0.10198207049045144,-0.22221711530913812,-0.008026649667506547
CA,1.2993916674286599,-0.10459124819390503,-0.19415996848785355,-0.012457897472714308
CO,1.3557323173165459,-0.103871500419143,-0.25148548528554543,-0.007575462624053841
CT,1.3499004261193546,-0.1044476835223194,-0.2450756313269576,-0.007600442160846654
DE,1.3274043964952784,-0.10028449516546534,-0.2266835520647093,-0.00875301819572627
DC,1.330320333387834,-0.10587577999819692,-0.22410868940623827,-0.006760005254353274
FL,1.3675248025755893,-0.10375066624648854,-0.2634451713786052,-0.006720902701694342
GA,1.349128620475073,-0.1036001793710771,-0.24515267374345093,-0.007570621481022499
HI,1.348007924139207,-0.10361691430484521,-0.24400712206804942,-0.007723248336954924
ID,1.350303240437182,-0.10276931853209645,-0.24713737638999755,-0.007977991985249844
IL,1.3457065408567752,-0.10300565042507606,-0.24230038563909095,-0.00801719108978105
IN,1.3355284986323774,-0.10259939063097948,-0.23256339363610828,-0.007394790680649521
IA,1.3443177215727613,-0.09936519301989899,-0.24459497663595353,-0.007103588225909618
KS,1.3490200896221156,-0.10407107507245184,-0.24456823889098617,-0.007662937212035814
KY,1.3517984322879593,-0.10428364654631436,-0.247133577501151,-0.0076831103967762715
LA,1.3044247723367526,-0.1099161976812977,-0.19415467383352486,-0.007241019918691194
ME,1.3512918911704548,-0.10473512750060401,-0.24619916018927168,-0.007198447550965881
MD,1.3476263646858144,-0.10360554180621559,-0.24364752494073738,-0.007528146382828282
MA,1.3246734088576453,-0.10372725081539108,-0.2205198556593912,-0.008448687460408166
MI,1.3494579574847718,-0.10391353614643062,-0.24516234680959464,-0.007682796327795671
MN,1.3881336086898561,-0.1067830628297563,-0.2809352779239096,-0.008273861384822112
MS,1.3522643278502446,-0.10398067510288911,-0.24790467832452553,-0.007623921097554387
MO,1.356442060961746,-0.10546266098955431,-0.2506104917000514,-0.007473180044165417
MT,1.3497969900650002,-0.10423896987672682,-0.2451936502095866,-0.007335885520937779
NE,1.3743481839796858,-0.1040242598384602,-0.270014525524199,-0.00618798548161692
NV,1.345972374344437,-0.09817727762459871,-0.2473815273511854,-0.00837654485695083
NH,1.3661549333282654,-0.10208239153407489,-0.26363353742539486,-0.00884436271810074
NJ,1.3557050669186104,-0.1034049005467319,-0.2518919632311287,-0.008161256784344317
NM,1.354856190128471,-0.10376021141509734,-0.2507336684096527,-0.007286591419816801
NY,1.3609401451325327,-0.10651927381360576,-0.2541263554947041,-0.006072968089252839
NC,1.3465537579950608,-0.10340729331066453,-0.24277482367491449,-0.007495242828376547
ND,1.2312774390743673,-0.07755529002464176,-0.1535966089517776,-0.002562139582106937
OH,1.3429949151017837,-0.10235354585868067,-0.24020984291176756,-0.008570566048678785
OK,1.3469367403289467,-0.11907210776982372,-0.22749025643297885,-0.007624748085738986
OR,1.3802947071276102,-0.10369027713446544,-0.2762167721684018,-0.007839027710442537
PA,1.350197611597583,-0.10374161183997538,-0.2460681374238003,-0.007789620978634559
RI,1.344371170238047,-0.10346510318885621,-0.24056597685550293,-0.0068483460651656
SC,1.3540645040392025,-0.10457488533939191,-0.24910810918168477,-0.007666942210938998
SD,1.3464984423756428,-0.10297270859922031,-0.24325429503195944,-0.005497833583447687
TN,1.3526041954934207,-0.10478715426511906,-0.24742906618574256,-0.007780785136862534
TX,1.355485178221145,-0.10540753092805588,-0.24973172235744023,-0.007018409624713229
UT,1.3523878685694999,-0.10077141237072956,-0.25122222457293836,-0.00795039040225376
VT,1.352470386165503,-0.10430027259873179,-0.24780906394403812,-0.007274278936815648
VA,1.350475139131895,-0.10391904399742583,-0.24617292268939195,-0.0077033337044909445
WA,1.347649009740572,-0.10424627493691233,-0.2430185609345547,-0.007717354454207737
WV,1.3674562306758493,-0.10334537001188887,-0.26375283667878535,-0.007208790676536125
WI,1.3324467297403857,-0.10370840087739192,-0.2283767490132487,-0.00732460435619231
WY,1.3643141799496268,-0.11022702262597195,-0.25361719321301013,-0.009421583484499507
