,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+MC neural
0,0.2526,0.28774,0.24671,0.31592,0.24614,0.21783,0.26632,0.22979
1,0.64711,0.73435,0.61204,0.62457,0.66351,0.65897,0.66093,0.62814
2,0.39761,0.43688,0.40754,0.57316,0.42847,0.42847,0.42847,0.43892
3,0.34765,0.36185,0.39789,0.40312,0.36185,0.36185,0.36185,0.36825
4,1.04299,0.90529,0.91933,0.99749,0.91933,0.91933,0.92012,0.9438
5,0.73574,0.66344,0.77993,0.65229,0.68241,0.68241,0.68241,0.7396
6,1.56413,1.59413,1.5627,1.7323,1.55263,1.55263,1.56571,1.54635
7,0.69701,0.55355,0.655,0.62344,0.62051,0.62051,0.62051,0.59767
8,1.09236,0.99036,1.05179,1.02218,1.00858,1.00858,0.9964,1.03151
9,1.00622,1.0913,0.25708,1.15279,0.25708,0.31131,0.31131,0.2146
10,0.9145,0.80651,0.74345,0.82347,0.744,0.74797,0.74797,0.77358
11,0.90444,0.94133,0.66048,0.90875,0.7486,0.74364,0.84751,0.79943
12,0.42154,0.30434,0.35181,0.37031,0.30434,0.30434,0.30434,0.33949
13,1.46553,1.67597,1.49499,1.74209,1.6365,1.6365,1.66719,1.5914
14,1.42536,1.48536,1.45048,1.42714,1.48536,1.48536,1.48536,1.51121
15,1.08292,0.92159,0.82473,0.95985,0.81269,0.81269,0.81269,0.81981
16,0.53036,0.6132,0.53156,0.4969,0.5354,0.5354,0.4969,0.49502
17,0.42261,0.51844,0.30476,0.36414,0.30476,0.30476,0.30476,0.43805
18,1.54622,1.54541,1.44528,1.55433,1.46745,1.46745,1.47597,1.47684
19,1.01011,0.91423,0.6334,0.94519,0.75085,0.75085,0.75085,0.68438
20,0.66869,0.50671,0.41979,0.52601,0.44996,0.44996,0.50381,0.35411
21,0.37022,0.27495,0.2765,0.27223,0.26303,0.26303,0.24008,0.2343
22,0.56713,0.50704,0.53775,0.53088,0.52514,0.52514,0.52514,0.52961
23,0.63836,0.39999,0.21901,0.56607,0.22366,0.22366,0.22366,0.35424
24,0.98231,0.90583,0.95435,0.80762,0.91737,0.91758,0.85198,0.93529
25,0.61061,0.4608,0.45206,0.43067,0.45206,0.45206,0.45206,0.45874
26,0.66394,0.63349,0.67233,0.65709,0.63349,0.63349,0.63349,0.64445
27,0.65981,0.68214,0.79553,0.84707,0.71836,0.70042,0.70417,0.71398
28,0.81258,0.6685,0.83963,0.73707,0.74375,0.74375,0.74375,0.90363
29,0.64386,0.36255,0.45813,0.43359,0.40085,0.49725,0.4988,0.47082
30,0.55109,0.52726,0.6242,0.51146,0.53698,0.54366,0.54366,0.55149
31,0.55091,0.58736,0.75311,0.50573,0.62799,0.62799,0.62274,0.68908
32,1.39849,1.18194,1.07928,1.43373,1.07928,1.10061,1.22961,1.19749
33,1.65108,1.66517,1.6724,1.63833,1.66145,1.65437,1.65437,1.63964
34,0.96439,1.14903,1.13954,1.12977,1.14303,1.03219,1.03219,1.05159
35,0.67494,0.59411,0.46217,0.65966,0.48764,0.48764,0.48764,0.57132
36,0.69756,0.5022,0.33726,0.58129,0.45735,0.47786,0.47786,0.42364
37,0.47402,0.39386,0.35737,0.33349,0.36192,0.36192,0.33801,0.32085
38,0.95492,0.83541,0.792,0.84983,0.82252,0.82394,0.82394,0.83474
39,0.93713,1.16542,0.93461,1.0593,1.06635,1.06635,1.06635,1.04296
40,0.2635,0.36356,0.19585,0.12375,0.19585,0.19585,0.19549,0.19883
41,0.43124,0.36521,0.40331,0.387,0.38965,0.38965,0.38012,0.38065
42,0.4809,0.33128,0.27892,0.24713,0.26954,0.26954,0.25059,0.23646
43,0.94596,1.05283,1.08085,1.08905,1.08085,1.01994,1.03232,1.06792
44,0.76476,0.70253,0.66103,0.82144,0.65522,0.65522,0.82144,0.6352
45,0.90794,0.98153,0.9187,0.94357,0.9187,0.9187,0.9187,0.95697
46,0.30381,0.3839,0.23383,0.22307,0.23383,0.23383,0.23383,0.28977
47,1.35728,1.29404,1.07917,1.17778,1.14351,1.16514,1.16514,1.16017
48,0.75597,0.85354,0.52855,0.78423,0.60052,0.60039,0.60039,0.56734
49,0.5653,0.61492,0.50337,0.48836,0.53773,0.54124,0.50641,0.55686
50,1.06786,0.7721,0.91407,0.84952,0.83791,0.95103,0.95103,1.01541
51,0.79542,0.79083,0.80949,0.83129,0.79083,0.76831,0.76831,0.80524
52,0.74843,0.83401,0.73779,0.81006,0.74088,0.73616,0.73616,0.70964
53,0.58761,0.65391,0.57243,0.66446,0.59539,0.59539,0.59539,0.57324
54,0.56191,0.34588,0.36965,0.34227,0.36916,0.36916,0.35512,0.34091
55,0.36016,0.38748,0.36968,0.33325,0.36968,0.36968,0.36968,0.49693
56,0.95675,1.01965,0.91984,0.94634,0.93213,0.93213,0.93213,0.99262
57,0.69798,0.66343,0.4193,0.61072,0.4193,0.4193,0.4193,0.42285
58,1.11749,0.97587,0.78862,0.86364,0.78862,0.78862,0.78862,0.76404
59,0.58289,0.53525,0.49316,0.44801,0.47527,0.48342,0.47503,0.46908
60,0.4882,0.73696,0.57173,0.67934,0.58451,0.58451,0.67812,0.61774
61,1.86293,1.81543,1.87617,1.79477,1.87617,1.87617,1.80838,1.8092
62,0.97583,1.05991,1.0814,1.04402,1.05991,1.05991,1.05991,1.15609
63,0.57842,0.53149,0.59127,0.52928,0.58758,0.58758,0.54265,0.55964
64,0.66037,0.47548,0.75091,0.64827,0.59862,0.59862,0.60179,0.85751
65,0.56404,0.65628,0.47213,0.74842,0.47213,0.47213,0.47213,0.46746
66,0.98135,0.89673,0.83179,1.0718,0.82174,0.82174,0.82174,0.81774
67,0.69018,0.61059,0.64688,0.53395,0.62026,0.62026,0.61367,0.62258
68,0.95627,0.91457,0.88329,0.8557,0.89385,0.9047,0.89543,0.87414
69,1.17561,1.33289,1.28201,1.24071,1.27778,1.23401,1.23401,1.31332
70,0.87488,0.85887,0.80907,0.86504,0.8102,0.8092,0.81359,0.82326
