,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+Abadie
0,0.25482,0.2933,0.21058,0.23336,0.23454,0.23454,0.23454,0.23454
1,0.51093,0.53756,0.48175,0.45115,0.48175,0.48175,0.47282,0.47282
2,1.31874,1.29976,1.28121,1.38018,1.28135,1.29988,1.32394,1.32148
3,0.68762,0.77211,0.68776,0.75098,0.68834,0.68834,0.70062,0.70062
4,1.3787,1.46248,1.3006,1.32027,1.32317,1.32317,1.32317,1.32317
5,0.56541,0.75262,0.46468,0.7918,0.50737,0.50737,0.50863,0.50863
6,0.55991,0.57977,0.57594,0.57223,0.57594,0.57372,0.57268,0.57268
7,0.47507,0.43074,0.56393,0.56075,0.50833,0.50833,0.53028,0.53028
8,0.72459,0.7936,0.63637,0.63035,0.71652,0.71652,0.71652,0.71652
9,0.34252,0.55899,0.41485,0.5066,0.49815,0.48362,0.48362,0.49815
10,0.77022,0.82263,0.73248,0.8042,0.73351,0.73466,0.74256,0.74256
11,1.35792,1.57121,1.43922,1.38366,1.43922,1.43207,1.43056,1.43489
12,0.79376,0.86801,0.78843,0.72436,0.78843,0.78847,0.78847,0.78843
13,1.15426,1.37227,1.16871,1.36533,1.2439,1.22541,1.22541,1.2439
14,0.32355,0.33456,0.31504,0.30479,0.31344,0.31441,0.30553,0.30479
15,1.27483,1.25205,1.24419,1.28176,1.24217,1.24813,1.24957,1.24957
16,0.68216,0.67009,0.64447,0.63521,0.64447,0.65079,0.63521,0.63521
17,0.5604,0.56159,0.56272,0.58158,0.56272,0.56272,0.56272,0.56272
18,0.35431,0.83245,0.28564,0.52155,0.28564,0.28564,0.25789,0.25789
19,0.83208,0.86841,0.8167,0.84036,0.8167,0.82059,0.82059,0.8167
20,1.80206,1.80526,1.79836,1.75426,1.79625,1.79728,1.79536,1.79412
21,0.41133,0.421,0.42853,0.43845,0.42853,0.42853,0.43028,0.43028
22,0.52958,0.67787,0.54901,0.5218,0.54901,0.54901,0.54857,0.54857
23,0.71303,1.02635,0.65119,0.88755,0.75931,0.75931,0.77479,0.77479
24,0.92249,0.97406,0.85805,1.03356,0.87808,0.88972,0.89107,0.89007
25,0.8654,0.94659,0.85154,0.89881,0.86538,0.86586,0.86782,0.86904
