,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+Abadie
AL,0.22351,0.00721,0.02854,0.01654,0.00722,0.00722,0.0078,0.0078
AK,0.41417,0.01462,0.02431,0.03522,0.01462,0.01462,0.01462,0.01462
AZ,0.4859,0.00448,0.02476,0.01028,0.00448,0.00448,0.00448,0.00448
AR,0.33863,0.00425,0.00472,0.00368,0.00425,0.00416,0.00356,0.00356
CA,0.22472,0.01586,0.071,0.43183,0.01586,0.01586,0.01586,0.01586
CO,0.44213,0.02149,0.03469,0.0208,0.02152,0.02152,0.02152,0.02152
CT,0.18847,0.02578,0.02462,0.03169,0.02578,0.02578,0.02591,0.02591
DE,0.33922,0.01208,0.01681,0.02614,0.01208,0.01267,0.01267,0.01208
DC,0.26872,0.07466,0.13807,0.0593,0.07466,0.07505,0.07505,0.07466
FL,0.37879,0.00784,0.02905,0.0677,0.00784,0.00784,0.00784,0.00784
GA,0.35512,0.00965,0.00509,0.00807,0.00965,0.00965,0.00965,0.00965
HI,0.33769,0.01666,0.01187,0.01535,0.01666,0.01666,0.01666,0.01666
ID,0.46039,0.02221,0.02769,0.01708,0.02221,0.02335,0.02335,0.02219
IL,0.00359,0.00559,0.00595,0.0092,0.00536,0.00536,0.00536,0.00536
IN,0.1179,0.00819,0.0167,0.00662,0.00819,0.00819,0.00752,0.00752
IA,0.13397,0.00647,0.01486,0.0095,0.00647,0.00647,0.00649,0.00649
KS,0.2003,0.02669,0.00527,0.01395,0.02669,0.02669,0.02624,0.02624
KY,0.20964,0.00441,0.01828,0.00685,0.00441,0.00441,0.00471,0.00471
LA,0.21796,0.01847,0.00808,0.0118,0.01847,0.01847,0.01847,0.01847
ME,0.2549,0.01016,0.02426,0.01222,0.01016,0.01039,0.01039,0.01016
MD,0.25446,0.01107,0.00975,0.01033,0.01107,0.01107,0.01107,0.01107
MA,0.19981,0.0089,0.04312,0.01267,0.0089,0.0089,0.00901,0.00901
MI,0.03709,0.01508,0.01286,0.03343,0.01508,0.01508,0.01508,0.01508
MN,0.25763,0.0033,0.00379,0.00576,0.0033,0.00334,0.00325,0.00324
MS,0.25329,0.01845,0.05451,0.04038,0.01952,0.01945,0.02357,0.02357
MO,0.11415,0.01136,0.02991,0.01515,0.01182,0.01182,0.01169,0.01169
MT,0.35773,0.01354,0.0359,0.00838,0.01592,0.01634,0.01362,0.01319
NE,0.28023,0.00268,0.01857,0.0105,0.00268,0.00275,0.00358,0.00333
NV,0.58374,0.00904,0.04443,0.1879,0.00904,0.00904,0.00904,0.00904
NH,0.39203,0.01239,0.02987,0.02134,0.01239,0.01231,0.01231,0.01239
NJ,0.13079,0.00666,0.01368,0.0161,0.00666,0.00666,0.00782,0.00782
NM,0.36653,0.01118,0.0346,0.02787,0.01118,0.01118,0.01118,0.01118
NY,0.00826,0.01009,0.03073,0.12065,0.01009,0.01009,0.01009,0.01009
NC,0.34039,0.00363,0.00344,0.00167,0.00363,0.00364,0.00348,0.00348
ND,0.46576,0.04275,0.12656,0.0494,0.04064,0.03944,0.03944,0.04064
OH,0.03087,0.00372,0.00549,0.02857,0.00372,0.00372,0.00372,0.00372
OK,0.27451,0.04149,0.01059,0.01064,0.04149,0.04149,0.04149,0.04149
OR,0.33789,0.03151,0.03251,0.01145,0.03151,0.03176,0.03176,0.03151
PA,0.03153,0.00826,0.01408,0.00881,0.00671,0.00671,0.00664,0.00664
RI,0.20269,0.00309,0.0096,0.06762,0.00309,0.00306,0.00306,0.00309
SC,0.36855,0.01519,0.01401,0.01582,0.01519,0.01519,0.01519,0.01519
SD,0.38331,0.00533,0.02555,0.01551,0.00539,0.00484,0.00487,0.00539
TN,0.31245,0.00813,0.00386,0.00219,0.00813,0.00818,0.00756,0.00753
TX,0.36777,0.0174,0.02033,0.06894,0.0174,0.0174,0.0174,0.0174
UT,0.52963,0.02788,0.05131,0.0586,0.02788,0.02836,0.02836,0.02788
VT,0.3842,0.00339,0.0211,0.08687,0.00339,0.00348,0.00348,0.00339
VA,0.30556,0.01135,0.00934,0.01365,0.01135,0.01135,0.01139,0.01139
WA,0.38811,0.02254,0.05214,0.02147,0.02254,0.0229,0.0229,0.02254
WV,0.09711,0.02355,0.03043,0.14383,0.02386,0.02386,0.02386,0.02386
WI,0.15818,0.00528,0.00798,0.0077,0.00528,0.00528,0.0054,0.0054
WY,0.46809,0.02892,0.01676,0.02969,0.02892,0.02892,0.02892,0.02892
mean,0.31229,0.01949,0.03714,0.07684,0.01946,0.0195,0.01955,0.0195
median,0.28023,0.01118,0.02033,0.01582,0.01118,0.01118,0.01118,0.01118
