,HR,VT
AL,0.9992328790343611,0.0007671212299925297
AK,1.000000000933004,0.0
AZ,1.0000000002804643,0.0
AR,0.9999999997144299,0.0
CA,1.0000000011120502,0.0
CO,0.9968463740665283,0.0031536258655419465
CT,1.0000000002661105,0.0
DE,0.9999999996483306,0.0
DC,0.9999999989950634,0.0
FL,1.00000000104609,0.0
GA,0.9999999998740278,0.0
HI,1.0000000004106777,0.0
ID,0.9999999994387675,0.0
IL,0.9646198933487521,0.035380107281105785
IN,1.000000000257747,0.0
IA,0.999999999881731,0.0
KS,1.0000000000311575,0.0
KY,1.000000000197343,0.0
LA,1.0000000005633969,0.0
ME,0.9999999996405662,0.0
MD,1.0000000004130274,0.0
MA,0.9999999999207596,0.0
MI,1.0000000007330878,0.0
MN,0.9797449110540384,0.020255088851702595
MS,0.9659458912717875,0.03405410861925151
MO,0.97442725882198,0.02557274142590158
MT,0.8909644856811317,0.10903551393861118
NE,0.9909757944943193,0.009024205077435546
NV,0.9999999996927063,0.0
NH,0.9999999993959364,0.0
NJ,1.0000000005146554,0.0
NM,1.0000000002715002,0.0
NY,1.0000000006553504,0.0
NC,0.9999999998461975,0.0
ND,0.983229191914759,0.01677080721189169
OH,0.9993210238915847,0.0006789769961857908
OK,1.0000000001356233,0.0
OR,0.9999999997749278,0.0
PA,0.9214419671486664,0.07855803335380282
RI,0.9999999995824146,0.0
SC,0.9999999998684295,0.0
SD,0.9946027695655644,0.005397229784187959
TN,0.9999999999115595,0.0
TX,1.000000000281015,0.0
UT,0.9999999996257244,0.0
VT,0.9999999993005555,0.0
VA,1.0000000002459524,0.0
WA,0.9999999997195245,0.0
WV,0.9492038047652684,0.050796195227852906
WI,1.0000000001708942,0.0
WY,0.9999999994490925,0.0
