,HR,VT
AL,1.0000000000685576,0.0
AK,0.4517541267050128,0.5482458732886054
AZ,0.2709181330285291,0.7290818668728276
AR,0.6875582594103364,0.3124417405613156
CA,0.7643935723887254,0.2356064265559517
CO,0.37649641498805647,0.6235035848601714
CT,1.0000000000963438,0.0
DE,0.48116397416206896,0.5188360258292548
DC,0.2714181425655875,0.7285818574325723
FL,0.3577140131174706,0.6422859864835866
GA,0.45862596818721557,0.541374031599189
HI,0.6483424457442196,0.35165755425290507
ID,0.2876214779369643,0.712378522051727
IL,0.24217171102259596,0.7578282899451185
IN,0.568779821265881,0.43122017892374476
IA,0.3174904560569361,0.6825095439726155
KS,0.6880709167445144,0.31192908327086233
KY,1.000000000043575,0.0
LA,0.7510863496631652,0.24891365045908107
ME,0.5913886224428629,0.4086113775486275
MD,0.9865918132354105,0.0134081868786379
MA,0.8256730110800647,0.17432698912368833
MI,0.28700385778286075,0.7129961430189031
MN,0.9330663129204231,0.0669336870036131
MS,0.9263238958545216,0.07367610412995407
MO,0.6517859518465826,0.3482140483799721
MT,0.37868751277979695,0.621312487213512
NE,0.8366078067353909,0.16339219324609364
NV,0.07303244268605849,0.9269675573150575
NH,0.27876676996200583,0.7212332300307716
NJ,0.9453090440301047,0.05469095699179929
NM,0.570215875504901,0.4297841244751718
NY,0.22466250297266044,0.7753374999013449
NC,0.5755687814281183,0.42443121831725256
ND,0.4120650662126436,0.5879349337790936
OH,0.10036377814232905,0.8996362223266983
OK,0.6283953372750778,0.37160466274471937
OR,0.7904740487805649,0.20952595115113895
PA,0.15290336679005276,0.8470966338343167
RI,0.430146471890735,0.5698535281052216
SC,0.4489252460015927,0.5510747539602452
SD,0.3380482546638358,0.6619517453290867
TN,0.7659007938548352,0.23409920605180334
TX,0.7868973760147381,0.2131026137888193
UT,0.18680884137911424,0.8131911586035594
VT,0.12198591052355977,0.8780140894745296
VA,0.7591010224008671,0.24089897743935443
WA,0.28418371761243166,0.7158162822451518
WV,0.4102168890978482,0.5897831109121288
WI,0.878058758981302,0.12194124118036223
WY,0.08778291121324487,0.9122170887855383
