,HR,VT
AL,0.25791462748553884,0.742085372458014
AK,0.2663393914182177,0.7336606085158606
AZ,0.2351435771563783,0.764856422802838
AR,0.26302976377721393,0.7369702361752517
CA,0.2736443342675422,0.7263556656990097
CO,0.2568067593772866,0.7431932405805324
CT,0.256283997359604,0.7437160025853516
DE,0.2394926063262784,0.7605073936039612
DC,0.24698536948083935,0.7530146304881415
FL,0.26227723555318927,0.7377227643878479
GA,0.27562840325953536,0.7243715966836423
HI,0.2863452941901107,0.7136547057512139
ID,0.23699882111275059,0.7630011788587976
IL,0.26694256688459733,0.7330574330662806
IN,0.2645586900121967,0.735441309929923
IA,0.2868250575656545,0.7131749424108264
KS,0.24759469443242244,0.7524053055336217
KY,0.25566685076004736,0.7443331491797115
LA,0.20089358771820978,0.7991064122086937
ME,0.2581716911775865,0.741828308777791
MD,0.2628203252786427,0.7371796746727084
MA,0.26464241194841853,0.7353575880156199
MI,0.1922221638707015,0.8077778360549888
MN,0.2539541959576165,0.7460458040070904
MS,0.2598380682736138,0.7401619316960657
MO,0.260270750978056,0.7397292489636477
MT,0.2743751926327833,0.7256248073347068
NE,0.28242474402755385,0.7175752559338879
NV,0.3074185595817902,0.6925814403456874
NH,0.26880988575939196,0.7311901141859196
NJ,0.26388148054855537,0.736118519400148
NM,0.2655264911128076,0.7344735088438228
NY,0.3005114149084094,0.6994885850376575
NC,0.26905046568580304,0.7309495342610512
ND,0.35535264895501123,0.6446473509946524
OH,0.27119642694147567,0.728803573019784
OK,0.19877258452597463,0.8012274154017159
OR,0.2740244711455841,0.72597552879313
PA,0.26026909555216815,0.7397309043881288
RI,0.27447135900639474,0.7255286409531638
SC,0.2612948332771645,0.7387051666739571
SD,0.21490463429181808,0.7850953656463723
TN,0.27562133756466767,0.7243786623817212
TX,0.22343967008915347,0.7765603298782756
UT,0.3139349047501521,0.6860650951873871
VT,0.2703010948506027,0.7296989050966672
VA,0.26128899853143345,0.7387110014257467
WA,0.33390173453193883,0.6660982654140569
WV,0.30956057738606785,0.6904394225902368
WI,0.2624379387821599,0.7375620611536152
WY,0.2503938043153826,0.7496061956429649
