,MC,HR,VT
AL,0.0,0.9992328790343611,0.0007671212299925297
AK,0.0,1.000000000933004,0.0
AZ,0.0,1.0000000002804643,0.0
AR,0.0010417565430193934,0.9989582433251334,0.0
CA,0.0,1.0000000011120502,0.0
CO,0.0,0.9968463740665283,0.0031536258655419465
CT,0.0,1.0000000002661105,0.0
DE,0.001901057644030131,0.9980989422563901,0.0
DC,0.0019942555147538293,0.9980057437581926,0.0
FL,0.0,1.00000000104609,0.0
GA,0.0,0.9999999998740278,0.0
HI,0.0,1.0000000004106777,0.0
ID,0.0026093543811459064,0.9973906454123201,0.0
IL,0.0,0.9646198933487528,0.03538010728110506
IN,0.0,1.000000000257747,0.0
IA,0.0,0.999999999881731,0.0
KS,0.0,1.0000000000311575,0.0
KY,0.0,1.000000000197343,0.0
LA,0.0,1.0000000005633969,0.0
ME,0.0019282568139636815,0.998071743093224,0.0
MD,0.0,1.0000000004130274,0.0
MA,0.0,0.9999999999207596,0.0
MI,0.0,1.0000000007330878,0.0
MN,0.0005724745443089192,0.9798982779859639,0.019529247469489256
MS,0.00024121630273987317,0.9660554448131712,0.03370333881064646
MO,0.0,0.974427258821977,0.025572741425904637
MT,0.0014703674104914188,0.8927431051941284,0.10578652720825946
NE,0.002538695670836066,0.993165623348313,0.004295680921010179
NV,0.0,0.9999999996927063,0.0
NH,0.0003620240324297475,0.9996379754141083,0.0
NJ,0.0,1.0000000005146554,0.0
NM,0.0,1.0000000002715002,0.0
NY,0.0,1.0000000006553504,0.0
NC,7.611619557976904e-05,0.9999238836634714,0.0
ND,0.0056055429266371175,0.985232086950619,0.009162369968708449
OH,0.0,0.9993210238915847,0.0006789769961857908
OK,0.0,1.0000000001356233,0.0
OR,0.0008213711218885237,0.9991786287802178,0.0
PA,0.0,0.9214419671486664,0.07855803335380282
RI,0.0018135990586726674,0.9981864007745358,0.0
SC,0.0,0.9999999998684295,0.0
SD,0.003580469096636005,0.9964195307171356,0.0
TN,0.00021226114071871058,0.9997877388053696,0.0
TX,0.0,1.000000000281015,0.0
UT,0.0009600070644700709,0.9990399926994438,0.0
VT,0.00342504815849837,0.9965749515750353,0.0
VA,0.0,1.0000000002459524,0.0
WA,0.0009959465307986563,0.9990040533545136,0.0
WV,0.0,0.9492038047652684,0.050796195227852906
WI,0.0,1.0000000001708942,0.0
WY,1.262002305276858e-05,0.9999873794276225,0.0
