,MC,HR,VT,Abadie
AL,0.0,0.921353174827597,0.0,0.07864682541725422
AK,0.0,1.0000000009330041,0.0,0.0
AZ,0.0,1.0000000002804643,0.0,0.0
AR,0.0,0.7171155055654098,0.0,0.2828844942459447
CA,0.0,1.0000000011120502,0.0,0.0
CO,0.0,0.9968463740665283,0.0031536258655419465,0.0
CT,0.0,0.9741500098023471,0.0,0.0258499904561719
DE,0.0019010576440236526,0.9980989422563968,0.0,0.0
DC,0.0019942555151973083,0.9980057437577491,0.0,0.0
FL,0.0,1.00000000104609,0.0,0.0
GA,0.0,0.9999999998740278,0.0,0.0
HI,0.0,1.0000000004106777,0.0,0.0
ID,0.0026093543811459064,0.9973906454123201,0.0,0.0
IL,0.0,0.9646198933487528,0.03538010728110506,0.0
IN,0.0,0.8342973166217225,0.0,0.16570268359623858
IA,0.0,0.989678848294593,0.0,0.010321151588833956
KS,0.0,0.9650912916583859,0.0,0.03490870837160548
KY,0.0,0.8540593803279964,0.0,0.14594061984022763
LA,0.0,1.0000000005633967,0.0,0.0
ME,0.0019282568139636815,0.998071743093224,0.0,0.0
MD,0.0,1.0000000004130272,0.0,0.0
MA,0.0,0.9697683139663311,0.0,0.030231685958884893
MI,0.0,1.0000000007330876,0.0,0.0
MN,0.00046704929302812437,0.8991144995991807,0.0,0.10041845109861319
MS,0.0,0.7441916867839284,0.0,0.2558083131083298
MO,0.0,0.9081870629507712,0.0,0.09181293727960349
MT,0.001663292215830805,0.8422017835056097,0.044299289685563535,0.11183563443244322
NE,0.0014307689922538824,0.7784846360249139,0.0,0.22008459485728624
NV,0.0,0.9999999996927064,0.0,0.0
NH,0.0003620240324297475,0.9996379754141083,0.0,0.0
NJ,0.0,0.8731970399866775,0.0,0.12680296046447098
NM,0.0,1.0000000002715008,0.0,0.0
NY,0.0,1.0000000006553504,0.0,0.0
NC,0.0,0.9540475181205694,0.0,0.0459524817375897
ND,0.005605542927072061,0.9852320869525996,0.009162369966292756,0.0
OH,0.0,0.9993210238840281,0.0006789770037425168,0.0
OK,0.0,1.0000000001356233,0.0,0.0
OR,0.0008213711218885237,0.9991786287802178,0.0,0.0
PA,0.0,0.9134900470565795,0.07284876989912971,0.013661183544468406
RI,0.0018135990586726674,0.9981864007745358,0.0,0.0
SC,0.0,0.9999999998684295,0.0,0.0
SD,0.003489130820979639,0.9915185277826435,0.0,0.004992341198163142
TN,0.00011403339036825643,0.9195064994584968,0.0,0.08037946708871156
TX,0.0,1.000000000281015,0.0,0.0
UT,0.0009600070644700709,0.9990399926994438,0.0,0.0
VT,0.0034250481585023336,0.9965749515750313,0.0,0.0
VA,0.0,0.968479278290681,0.0,0.031520721949638314
WA,0.0009959465307986563,0.9990040533545136,0.0,0.0
WV,0.0,0.9492038047841534,0.05079619520896858,0.0
WI,0.0,0.9424091727171284,0.0,0.057590827443629616
WY,1.2620023064120934e-05,0.9999873794276112,0.0,0.0
