,MC,HR,VT,Abadie
AL,0.24677444294683687,0.07735104001031724,0.566824922037045,0.10904959499255915
AK,0.2907171772293051,0.015464038420649393,0.4867909362558752,0.207027848081988
AZ,0.23207201528107707,0.0545872795962552,0.5885537718969948,0.1247869332281122
AR,0.23010664115239698,0.09536862219903743,0.5715075916707261,0.1030171449715055
CA,0.24311817243202488,0.12150905473628315,0.5752751561192506,0.06009761672090109
CO,0.2156675517280956,0.10996511175074922,0.5945159472220564,0.07985138929289448
CT,0.2502672675292858,0.07562503580231135,0.5734912919561125,0.10061640469955223
DE,0.2853429298933971,0.0936291052602101,0.621027964819454,0.0
DC,0.08492566817400078,0.2066086229663537,0.7084657088396902,0.0
FL,0.224553537930752,0.08394968810011554,0.5623116073221744,0.1291851666303282
GA,0.24309365704472016,0.10438790780347584,0.5525259478815618,0.09999248725615328
HI,0.30842536900705714,0.032886425695172625,0.44453064715062646,0.2141575581442487
ID,0.2628576634186643,0.08478800618154644,0.6136595642238502,0.03869476619192079
IL,0.22988266988910228,0.09163978393800602,0.5615805881369198,0.11689695802886528
IN,0.22969292871245567,0.08027309451106918,0.5543029547241377,0.1357310220374064
IA,0.18783751750341549,0.1827856437056427,0.6104877843172294,0.01888905448043885
KS,0.10876986092640085,0.023991225240555775,0.53891314813338,0.3283257657004298
KY,0.23718043045188703,0.07640749749181963,0.5685537033427496,0.11785836869635548
LA,0.25175902881152534,0.0,0.5457646416412153,0.20247632952599706
ME,0.23579961357892376,0.0888392337165334,0.5752143566890113,0.10014679601346874
MD,0.2296532137445615,0.09058853332913872,0.5660034535416071,0.11375479937666244
MA,0.2243007264585128,0.12603333048186083,0.5980538822749882,0.051612060786257574
MI,0.18466811081978857,0.021158090815953712,0.6352546796296099,0.1589191186983484
MN,0.1988529694884021,0.12140779160731277,0.6137247014167053,0.06601453748608237
MS,0.19200516491339706,0.11231887718162725,0.5946550259972572,0.10102093191195163
MO,0.26538377803202495,0.07730681166527574,0.5604561539365361,0.09685325635328004
MT,0.18935091563450457,0.14655023135072257,0.6009655869501076,0.06313326606390554
NE,0.11040762813800158,0.10830910107567035,0.5494783683941368,0.23180490238237553
NV,0.2688477202046838,0.03942182605157852,0.4169689407016796,0.2747615130222221
NH,0.23733756967527145,0.10223679340860194,0.5659718012889627,0.09445383561444572
NJ,0.23200823204881504,0.08962218290115617,0.5645318715890693,0.11383771345160192
NM,0.24297793537153,0.10671241963671796,0.5771199037502563,0.07318974124093613
NY,0.2423690831558772,0.1663163687601331,0.5615083777072801,0.02980617036252246
NC,0.2261422503501964,0.09496104021089326,0.5644154207646243,0.11448128866391578
ND,0.2722686265320928,0.17529802161308675,0.44222672525460116,0.11020662659857447
OH,0.2106465870994643,0.06471537131354888,0.5265019180919982,0.19813612349981444
OK,0.30112223380890346,0.027584248258543363,0.6424120007079082,0.028881517199630256
OR,0.27626032131216993,0.11215303257154849,0.5618736992530784,0.049712946846411935
PA,0.23542718291916037,0.0824470965833713,0.5648923858648811,0.1172333346157612
RI,0.21373176788611742,0.12235561123423257,0.5795774198670518,0.08433520100826604
SC,0.23255908169055428,0.08599731766182958,0.5673412335270223,0.11410236711466565
SD,0.18636883998634665,0.049287221582232456,0.6141344874587917,0.15020945094883248
TN,0.23554786132809172,0.10547389660756942,0.5543590521218119,0.10461918993116677
TX,0.2794157375962527,0.08013054415917596,0.6404537182579562,0.0
UT,0.2436438546887102,0.10375455217250057,0.47207325595187977,0.180528337171074
VT,0.23407023579831915,0.09046317516286807,0.5496440226448813,0.12582256638402634
VA,0.2194542214167874,0.09469867321040779,0.5740824593673356,0.11176464600200503
WA,0.1690322911070849,0.20614174253773251,0.5641703683740537,0.06065559795755868
WV,0.19448508470885284,0.08516638587684215,0.46943946703014444,0.2509090624044252
WI,0.28844571295011445,0.0303077985827432,0.5099944083399923,0.17125208011458082
WY,0.2371343372464665,0.10480389618799177,0.6055193521205191,0.05254241444369198
