,HR,VT,Abadie
AL,0.921353174827597,0.0,0.07864682541725422
AK,1.0000000009330041,0.0,0.0
AZ,1.0000000002804643,0.0,0.0
AR,0.7171155055654092,0.0,0.2828844942459452
CA,1.0000000011120502,0.0,0.0
CO,0.9968463740665283,0.0031536258655419465,0.0
CT,0.9741500098023471,0.0,0.0258499904561719
DE,0.999999999648331,0.0,0.0
DC,0.9999999989950634,0.0,0.0
FL,1.00000000104609,0.0,0.0
GA,0.9999999998740278,0.0,0.0
HI,1.0000000004106777,0.0,0.0
ID,0.9958574685666999,0.0,0.00414253087382428
IL,0.9646198933487521,0.035380107281105785,0.0
IN,0.8342973166217225,0.0,0.16570268359623858
IA,0.989678848294593,0.0,0.010321151588833956
KS,0.9650912916583859,0.0,0.03490870837160548
KY,0.8540593803279964,0.0,0.14594061984022763
LA,1.0000000005633967,0.0,0.0
ME,0.9999999996405662,0.0,0.0
MD,1.0000000004130272,0.0,0.0
MA,0.9697683139663311,0.0,0.030231685958884893
MI,1.0000000007330876,0.0,0.0
MN,0.8985896223921231,0.0,0.10141037752201502
MS,0.7441916867839284,0.0,0.2558083131083298
MO,0.9081870629507712,0.0,0.09181293727960349
MT,0.840735990112872,0.04863141937193956,0.110632590136145
NE,0.7768043417492655,0.0,0.2231956579175394
NV,0.9999999996927064,0.0,0.0
NH,0.9999999993959364,0.0,0.0
NJ,0.8731970399866775,0.0,0.12680296046447098
NM,1.0000000002715008,0.0,0.0
NY,1.0000000006553504,0.0,0.0
NC,0.9540475181205694,0.0,0.0459524817375897
ND,0.9832291919165241,0.016770807210126464,0.0
OH,0.9993210238840281,0.0006789770037425168,0.0
OK,1.0000000001356233,0.0,0.0
OR,0.9999999997749278,0.0,0.0
PA,0.9134900470565795,0.07284876989912971,0.013661183544468406
RI,0.9999999995824146,0.0,0.0
SC,0.9999999998684295,0.0,0.0
SD,0.9907408257101712,0.0,0.009259173635299559
TN,0.9194399682813484,0.0,0.08056003163769486
TX,1.000000000281015,0.0,0.0
UT,0.9999999996257244,0.0,0.0
VT,0.9999999993005557,0.0,0.0
VA,0.968479278290681,0.0,0.031520721949638314
WA,0.9999999997195245,0.0,0.0
WV,0.9492038047841534,0.05079619520896858,0.0
WI,0.9424091727171284,0.0,0.057590827443629616
WY,0.9999999994490931,0.0,0.0
