,HR,VT,Abadie
AL,0.20565507001050953,0.6920340619763325,0.10231086796182563
AK,0.17015847602911954,0.6415913300268645,0.1882501938866424
AZ,0.17466634484378743,0.707930499453295,0.11740315566805981
AR,0.2143741928255191,0.690348990294722,0.09527681683662605
CA,0.24581850925184,0.700019307814192,0.054162182902978306
CO,0.2247105077808573,0.7118260960214652,0.06346339615818788
CT,0.20660008299928387,0.695317973901432,0.09808194304936123
DE,0.2394926063262784,0.7605073936039612,0.0
DC,0.24698536948083935,0.7530146304881415,0.0
FL,0.19907424129047258,0.677504081838041,0.12342167681824305
GA,0.227089921838814,0.6786387159672146,0.09427136214196098
HI,0.19635931654006036,0.6233094967633753,0.18033118664595257
ID,0.2200434985634714,0.7465616862107253,0.03339481519889173
IL,0.2108272950146006,0.6776257285546327,0.11154697638757423
IN,0.19874890924113559,0.6725497606071141,0.12870133009993306
IA,0.281042488036977,0.7076944853803101,0.011263026559723575
KS,0.07091040087909997,0.5885905542211042,0.3404990448851641
KY,0.19922990351736547,0.6905119989990747,0.11025809742870729
LA,0.0405729110633755,0.6661647451129852,0.2932623437612959
ME,0.21049827153519793,0.6960463675570318,0.09345536086761391
MD,0.2081963625129269,0.6850366182367269,0.10676701920697174
MA,0.24260696596135073,0.714340656622512,0.04305237738205789
MI,0.11126512799451974,0.7330008492470214,0.15573402269139078
MN,0.2249710324645859,0.7181857801655884,0.056843187337187705
MS,0.21152173599595123,0.6940057425639259,0.09447252141440624
MO,0.21344609251517324,0.6949135445462222,0.09164036288493575
MT,0.24694702849446468,0.6996219049673503,0.053431066508141896
NE,0.16068122887373687,0.5982203213607039,0.2410984497399014
NV,0.17992960834349706,0.5626152767943031,0.2574551148002332
NH,0.22250637338628426,0.687651147847677,0.08984247871606656
NJ,0.20939524947243263,0.6840899203947259,0.10651483008678529
NM,0.22923664726924614,0.6999887556179717,0.07077459707252554
NY,0.2843890836852445,0.6861907847472488,0.02942013151512222
NC,0.2137915735284521,0.6780041607227529,0.10820426570093285
ND,0.30283586695366294,0.5949263326106055,0.1022378003904307
OH,0.17128841026754282,0.6320829630382042,0.19662862666628494
OK,0.18528466192570842,0.7878371002004997,0.026878237802893872
OR,0.24742123641736494,0.7009615497749353,0.05161721374916728
PA,0.2041174180248378,0.6861378270522871,0.10974475486854415
RI,0.23735572710887914,0.6908195879550876,0.07182468489877275
SC,0.20667719291778744,0.6865911116333202,0.10673169540528436
SD,0.13682950570260896,0.7136860524142911,0.14948444182828308
TN,0.22470495438754207,0.6768433255587241,0.09845172000511725
TX,0.22343967008915347,0.7765603298782756,0.0
UT,0.22890186294319315,0.600278348180821,0.17081978882137971
VT,0.2110737072605692,0.6718405015471127,0.1170857911451276
VA,0.20777298793893886,0.6875921300375131,0.10463488198585665
WA,0.30970732895503505,0.6448797910393939,0.04541287995385154
WV,0.18483510751044907,0.5661703282045822,0.24899456427509145
WI,0.18319223419033137,0.6619801347970573,0.15482763095557772
WY,0.22662850211239724,0.7262704196146196,0.0471010782334343
