,MC,HR,VT,Abadie,HR+VT,MC+HR+VT,MC+HR+VT+Abadie,HR+VT+MC neural
0,0.22453,0.3588,0.26933,0.25155,0.27632,0.20728,0.20558,0.19144
1,0.6437,0.69342,0.49999,0.58943,0.59541,0.61466,0.61989,0.52391
2,0.29486,0.38624,0.39902,0.56148,0.38624,0.38624,0.38624,0.54465
3,0.23466,0.34374,0.35001,0.26942,0.34374,0.34374,0.34374,0.45781
4,0.82146,0.90658,0.90264,0.88697,0.90264,0.90264,0.90264,0.88921
5,0.66788,0.59288,0.69979,0.6093,0.63728,0.63728,0.63728,0.73513
6,1.63705,1.77129,1.68499,1.96482,1.68463,1.68463,1.68813,1.65337
7,0.8988,0.74151,0.87174,0.73454,0.81546,0.81546,0.81546,0.7598
8,0.66497,0.64019,0.73584,0.64693,0.65914,0.65914,0.65914,0.72002
9,1.21135,1.00905,0.30075,1.5356,0.30075,0.33443,0.33443,0.22835
10,1.20641,0.98372,0.95837,0.98068,0.95885,1.00361,1.00361,1.08079
11,0.61505,0.68401,0.34943,0.82401,0.35508,0.3394,0.65888,0.46864
12,0.47656,0.21815,0.32344,0.27045,0.21815,0.21815,0.21815,0.30157
13,0.49157,0.97274,0.91126,1.17423,0.97274,0.85723,1.1313,0.67358
14,0.4771,0.42268,0.41876,0.39963,0.41824,0.41824,0.40267,0.36415
15,1.37075,0.87788,1.00063,0.91155,0.99118,0.99131,0.99406,1.1455
16,0.58265,0.60753,0.57608,0.58479,0.60753,0.60753,0.59346,0.54942
17,0.50183,0.32207,0.25041,0.32737,0.25041,0.2489,0.2489,0.239
18,2.09198,2.08612,1.99208,2.09611,2.01222,2.01222,2.01506,2.02746
19,1.19515,0.95908,0.67816,1.02032,0.78253,0.78253,0.78253,0.77442
20,0.80151,0.63313,0.47666,0.57249,0.59985,0.59796,0.57031,0.44919
21,0.23949,0.23471,0.23428,0.2928,0.22608,0.22608,0.26061,0.17533
22,0.32803,0.3344,0.27675,0.30445,0.2573,0.2573,0.2573,0.25667
23,0.63584,0.41304,0.21212,0.76108,0.21212,0.21212,0.21758,0.32337
24,1.11191,0.76588,0.88281,0.76451,0.80285,0.92893,0.87581,1.01975
25,0.73866,0.58077,0.51515,0.45163,0.51515,0.51515,0.51515,0.47049
26,0.49127,0.44379,0.40778,0.43302,0.44379,0.44379,0.44379,0.45534
27,0.66176,0.55691,0.63467,0.64253,0.57915,0.58184,0.58792,0.6283
28,0.60179,0.35589,0.68681,0.53138,0.6146,0.6146,0.6146,0.60141
29,0.50177,0.22396,0.23409,0.31343,0.21837,0.22921,0.22824,0.23393
30,0.60661,0.6258,0.6891,0.57201,0.62939,0.60661,0.60661,0.58848
31,0.62311,0.66836,0.68022,0.557,0.66845,0.66845,0.62671,0.66571
32,1.40137,1.17046,0.8604,1.31677,0.89966,0.9403,0.9403,1.09265
33,2.29887,2.30838,2.36261,2.30999,2.35099,2.33622,2.33622,2.28192
34,0.92443,0.90262,0.91068,0.95902,0.90114,0.92114,0.92114,0.90555
35,0.76007,0.67186,0.57734,0.71859,0.59712,0.60172,0.60172,0.73775
36,0.35446,0.29426,0.37394,0.37807,0.25405,0.2549,0.2549,0.39142
37,0.53734,0.34116,0.30068,0.32721,0.30141,0.30141,0.31562,0.35988
38,0.96709,0.92214,0.78845,0.85401,0.92214,0.92214,0.92214,0.89793
39,0.93914,1.39152,0.98453,1.17007,1.26549,1.26549,1.26549,1.2185
40,0.24864,0.43655,0.26024,0.13142,0.26024,0.26024,0.26024,0.25393
41,0.28259,0.15296,0.39266,0.24344,0.31843,0.31843,0.31574,0.40475
42,0.38174,0.39144,0.29891,0.29108,0.33213,0.33213,0.31034,0.34001
43,0.94834,0.9736,0.67865,0.85021,0.72685,0.7688,0.7701,0.70647
44,0.71571,0.67152,0.70562,0.84313,0.69964,0.69964,0.84003,0.72218
45,0.48184,0.59409,0.59426,0.54292,0.59379,0.59379,0.59379,0.67687
46,0.34737,0.45023,0.29949,0.29808,0.29949,0.30126,0.29782,0.27356
47,1.75924,1.74558,1.52809,1.56886,1.60708,1.66082,1.66082,1.45146
48,0.50931,0.74326,0.43414,0.55549,0.45321,0.44397,0.44397,0.42139
49,0.36117,0.24005,0.15189,0.17133,0.14372,0.2472,0.21389,0.25857
50,1.0948,1.04014,0.97411,1.14529,0.97866,1.00481,1.00481,0.9923
51,0.521,0.54373,0.6122,0.51197,0.54373,0.48353,0.48353,0.54595
52,0.53911,0.58054,0.54194,0.67889,0.5292,0.52866,0.55671,0.51163
53,0.45619,0.6134,0.51841,0.6291,0.55211,0.54547,0.55577,0.53835
